"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"185","provincia","Maipo","p134","Hombre",2015,494447.996399726,372173.135487705,"[448204, 541862]","[331500, 400000]"
"186","provincia","Malleco","p92","Hombre",2010,266633.802762402,179876.893014167,"[238403, 298809]","[170537, 183135]"
"187","provincia","Malleco","p92","Hombre",2011,331783.235496508,200000,"[282776, 390436]","[190736, 209681]"
"188","provincia","Malleco","p92","Hombre",2012,364472.513959797,206169.019442751,"[313254, 417624]","[196629, 235921]"
"189","provincia","Malleco","p92","Hombre",2013,331786.374262282,230000,"[291802, 382897]","[211222, 257360]"
"190","provincia","Malleco","p92","Hombre",2014,355486.063525156,263206.778943195,"[315476, 391262]","[244448, 296914]"
"191","provincia","Malleco","p92","Hombre",2015,358185.202089693,251758.507154336,"[320676, 406851]","[243484, 283989]"
"192","provincia","Marga Marga","p58","Hombre",2010,405347.335005364,250000,"[349712, 500388]","[219850, 270904]"
"193","provincia","Marga Marga","p58","Hombre",2011,443273.072906185,249200.902510106,"[374338, 540601]","[219273, 299041]"
"194","provincia","Marga Marga","p58","Hombre",2012,429606.838805309,290886.655312171,"[386677, 522643]","[258044, 301582]"
"195","provincia","Marga Marga","p58","Hombre",2013,473322.675376463,320433.800271126,"[427453, 543893]","[300407, 350000]"
"196","provincia","Marga Marga","p58","Hombre",2014,514923.635242343,398441.927786569,"[467511, 560304]","[353648, 404169]"
"197","provincia","Marga Marga","p58","Hombre",2015,508115.050952292,400000,"[454251, 559192]","[349604, 420933]"
"198","provincia","Melipilla","p135","Hombre",2010,356418.973442369,199863.214460186,"[272034, 547222]","[179959, 209057]"
"199","provincia","Melipilla","p135","Hombre",2011,354399.413836947,210304.57022074,"[256126, 630823]","[199361, 249201]"
"200","provincia","Melipilla","p135","Hombre",2012,323078.487513923,240000,"[281312, 375273]","[201124, 271218]"
"201","provincia","Melipilla","p135","Hombre",2013,338915.922872873,285484.082448206,"[290019, 424665]","[241317, 314625]"
"202","provincia","Melipilla","p135","Hombre",2014,441173.074794711,300000,"[372592, 514236]","[258752, 350376]"
"203","provincia","Melipilla","p135","Hombre",2015,444306.718782404,350094.714053763,"[380344, 536245]","[302363, 401630]"
"204","provincia","Ñuble","p84","Hombre",2010,254545.586612234,180176.159718144,"[231724, 281368]","[175000, 199863]"
"205","provincia","Ñuble","p84","Hombre",2011,364201.398434479,229929.968519651,"[322824, 405283]","[200967, 255939]"
"206","provincia","Ñuble","p84","Hombre",2012,430835.874474276,251405.270917803,"[384482, 478780]","[233022, 273271]"
"207","provincia","Ñuble","p84","Hombre",2013,389239.001599252,250338.906461818,"[337314, 436026]","[240241, 280053]"
"208","provincia","Ñuble","p84","Hombre",2014,423214.992792273,266908.990947321,"[378721, 491678]","[252606, 299944]"
"209","provincia","Ñuble","p84","Hombre",2015,525112.182509553,338836.529367643,"[468929, 607346]","[300081, 350050]"
"210","provincia","Osorno","p103","Hombre",2010,320353.428880544,200195.73302016,"[288599, 364704]","[199863, 220215]"
"211","provincia","Osorno","p103","Hombre",2011,361109.936717871,226808.289771761,"[330909, 402270]","[211170, 249892]"
"212","provincia","Osorno","p103","Hombre",2012,385211.774695509,237888.794289451,"[342205, 432335]","[220992, 251128]"
"213","provincia","Osorno","p103","Hombre",2013,447673.968917004,281637.49530911,"[399141, 513817]","[257614, 300099]"
"214","provincia","Osorno","p103","Hombre",2014,499099.636956357,299943.746484155,"[434156, 581385]","[279977, 303127]"
"215","provincia","Osorno","p103","Hombre",2015,488075.817449644,350000,"[439860, 535580]","[301063, 351426]"
"216","provincia","Parinacota","p152","Hombre",2010,166791.145619033,115251.691294496,"[107247, 231038]","[75830, 186305]"
"217","provincia","Parinacota","p152","Hombre",2011,134160.584396493,134921.470309922,"[100452, 181784]","[71893, 228600]"
"218","provincia","Parinacota","p152","Hombre",2012,146308.869506118,115477.853916902,"[104712, 195095]","[70393, 251405]"
"219","provincia","Parinacota","p152","Hombre",2013,181686.193981511,140746.036626042,"[117804, 285388]","[97648, 235886]"
"220","provincia","Parinacota","p152","Hombre",2014,134756.638452564,95166.5161131495,"[104103, 181806]","[80135, 192947]"
"221","provincia","Parinacota","p152","Hombre",2015,195676.416336621,157260.851458442,"[129146, 277110]","[42001, 204484]"
"222","provincia","Petorca","p54","Hombre",2010,336221.778831441,204128.004873148,"[281868, 388975]","[183230, 228986]"
"223","provincia","Petorca","p54","Hombre",2011,403817.43713314,299489.722823422,"[349283, 472051]","[244603, 359124]"
"224","provincia","Petorca","p54","Hombre",2012,466531.590861347,300000,"[388678, 582410]","[251128, 366839]"
"225","provincia","Petorca","p54","Hombre",2013,427359.022720995,283330.310815597,"[337755, 558918]","[249056, 305722]"
"226","provincia","Petorca","p54","Hombre",2014,387829.175306683,299961.286345676,"[344658, 430400]","[261801, 302303]"
"227","provincia","Petorca","p54","Hombre",2015,468614.173423489,301797.142747978,"[383097, 574286]","[300000, 338939]"
"228","provincia","Quillota","p55","Hombre",2010,318277.273379929,199863.214460186,"[276744, 346186]","[174880, 230414]"
"229","provincia","Quillota","p55","Hombre",2011,313518.902461521,203725.556368113,"[277346, 342575]","[199361, 240000]"
"230","provincia","Quillota","p55","Hombre",2012,423459.777482699,260359.813885481,"[362735, 478251]","[242341, 282514]"
"231","provincia","Quillota","p55","Hombre",2013,416824.355079705,280455.424431301,"[348625, 536395]","[254144, 298867]"
"232","provincia","Quillota","p55","Hombre",2014,466019.361220835,333066.528359817,"[425277, 538516]","[301975, 384183]"
"233","provincia","Quillota","p55","Hombre",2015,442661.508876821,301222.383194496,"[394506, 513206]","[281576, 354856]"
"234","provincia","Ranco","p142","Hombre",2010,259861.070192797,183874.157303371,"[216017, 335640]","[172000, 200000]"
"235","provincia","Ranco","p142","Hombre",2011,249135.947972422,182000,"[200481, 314651]","[170167, 205578]"
"236","provincia","Ranco","p142","Hombre",2012,342818.826444096,220992.268041237,"[284565, 458780]","[201124, 280939]"
"237","provincia","Ranco","p142","Hombre",2013,354371.893386331,237473.715036639,"[257273, 554144]","[213052, 268497]"
"238","provincia","Ranco","p142","Hombre",2014,282326.381610557,232478.721044165,"[253721, 314644]","[220176, 249978]"
"239","provincia","Ranco","p142","Hombre",2015,323115.227417378,267407.115994042,"[283759, 386184]","[240065, 299707]"
