"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"684","comuna","Lautaro",135,"Hombre",2014,255708.903457596,214368.716283077,"[102881, 447420]","[29994, 402791]"
"685","comuna","Lautaro",135,"Hombre",2015,298319.456513298,329766.916244445,"[213400, 408132]","[150484, 450122]"
"686","comuna","Lebu",136,"Hombre",2010,227852.207004088,150539.555206893,"[168802, 295205]","[95150, 198069]"
"687","comuna","Lebu",136,"Hombre",2011,221582.34909757,161920.199413359,"[179149, 275612]","[124876, 189421]"
"688","comuna","Lebu",136,"Hombre",2012,344141.206376613,236009.928229319,"[280872, 432894]","[184538, 322591]"
"689","comuna","Lebu",136,"Hombre",2013,287800.146655309,217503.191638144,"[237881, 397190]","[174943, 300277]"
"690","comuna","Lebu",136,"Hombre",2014,325572.3405201,229156.783745809,"[251510, 431741]","[189964, 320000]"
"691","comuna","Lebu",136,"Hombre",2015,314980.937087603,250001.037247472,"[267703, 382776]","[200054, 279278]"
"692","comuna","Licantén",137,"Hombre",2010,454962.068318683,377949.167791273,"[293131, 642001]","[180000, 622922]"
"693","comuna","Licantén",137,"Hombre",2011,284852.022955869,200000,"[185685, 362118]","[166214, 200601]"
"694","comuna","Licantén",137,"Hombre",2012,298088.25270649,200000,"[211661, 381561]","[151273, 300000]"
"695","comuna","Licantén",137,"Hombre",2013,321440.311121165,269431.257820523,"[251130, 392545]","[234113, 336086]"
"696","comuna","Licantén",137,"Hombre",2014,448883.063657637,307382.703238514,"[282898, 878541]","[238229, 415250]"
"697","comuna","Licantén",137,"Hombre",2015,494617.080559259,392092.909291542,"[350912, 695620]","[247838, 600000]"
"698","comuna","Limache",138,"Hombre",2010,315200.767938708,169883.732291158,"[192375, 459651]","[164887, 303490]"
"699","comuna","Limache",138,"Hombre",2011,232111.023744794,191414.392273673,"[186986, 295105]","[179425, 230227]"
"700","comuna","Limache",138,"Hombre",2012,289615.939633675,200902.06185567,"[201562, 435741]","[180648, 289481]"
"701","comuna","Limache",138,"Hombre",2013,324647.199670234,265279.154084251,"[268150, 437243]","[235650, 309235]"
"702","comuna","Limache",138,"Hombre",2014,379607.200107317,351740.462147781,"[301133, 594381]","[251713, 374930]"
"703","comuna","Limache",138,"Hombre",2015,446261.328022763,280799.128735363,"[326929, 636286]","[250068, 393134]"
"704","comuna","Linares",139,"Hombre",2010,305017.678099665,199863.214460186,"[261046, 358355]","[174933, 217778]"
"705","comuna","Linares",139,"Hombre",2011,319633.005561518,190530.426562394,"[273290, 382415]","[180870, 200967]"
"706","comuna","Linares",139,"Hombre",2012,377046.288776268,214197.290821968,"[302233, 453661]","[200227, 250000]"
"707","comuna","Linares",139,"Hombre",2013,396356.014808661,240000,"[334204, 465079]","[210000, 255533]"
"708","comuna","Linares",139,"Hombre",2014,403101.423877826,269806.959333538,"[360060, 464566]","[250551, 299944]"
"709","comuna","Linares",139,"Hombre",2015,407392.544191551,290031.934362064,"[345742, 485205]","[250509, 322886]"
"710","comuna","Litueche",140,"Hombre",2010,207145.174189701,169883.732291158,"[152161, 287253]","[149559, 200000]"
"711","comuna","Litueche",140,"Hombre",2011,189503.738330528,181418.257027357,"[160294, 222128]","[160000, 210000]"
"712","comuna","Litueche",140,"Hombre",2012,401032.84503866,200627.530927835,"[189786, 788152]","[193079, 251128]"
"713","comuna","Litueche",140,"Hombre",2013,234056.546641252,231110.210437912,"[198080, 276099]","[209207, 252172]"
"714","comuna","Litueche",140,"Hombre",2014,233165.913316011,247453.590849428,"[187761, 267569]","[181901, 282572]"
"715","comuna","Litueche",140,"Hombre",2015,319042.875473528,285434.352821069,"[266019, 386363]","[239275, 383422]"
"716","comuna","Llaillay",142,"Hombre",2010,247313.873648993,200471.6861109,"[212444, 278960]","[182776, 250178]"
"717","comuna","Llaillay",142,"Hombre",2011,328295.663065122,298905.331869749,"[286659, 381962]","[241128, 372250]"
"718","comuna","Llaillay",142,"Hombre",2012,525690.922427029,356899.20901543,"[354982, 764081]","[201124, 498123]"
"719","comuna","Llaillay",142,"Hombre",2013,345147.101829079,311564.895710149,"[271706, 439795]","[240759, 438129]"
"720","comuna","Llaillay",142,"Hombre",2014,376386.722746064,381112.397695849,"[312776, 434450]","[272600, 425466]"
"721","comuna","Llaillay",142,"Hombre",2015,338854.842161179,292083.526771407,"[275727, 416899]","[250000, 360945]"
"722","comuna","Llanquihue",141,"Hombre",2010,443700.031457357,249853.9622839,"[255496, 717545]","[200238, 299795]"
"723","comuna","Llanquihue",141,"Hombre",2011,469578.680003492,249200.902510106,"[230921, 800723]","[224185, 290025]"
"724","comuna","Llanquihue",141,"Hombre",2012,460535.591371773,200000,"[207749, 994402]","[163226, 357328]"
"725","comuna","Llanquihue",141,"Hombre",2013,363286.102154796,293968.964420445,"[263653, 481555]","[209207, 393758]"
"726","comuna","Llanquihue",141,"Hombre",2014,397062.99703671,262399.90812935,"[237861, 590165]","[217891, 323058]"
"727","comuna","Llanquihue",141,"Hombre",2015,607350.324480005,399453.541206871,"[362414, 957727]","[270000, 510000]"
"728","comuna","Lo Barnechea",143,"Hombre",2010,1242288.50103175,1000554.61706764,"[844529, 2063502]","[499658, 1300000]"
"729","comuna","Lo Barnechea",143,"Hombre",2011,2106702.239389,1002724.65507928,"[1269235, 2966682]","[430993, 3163920]"
"730","comuna","Lo Barnechea",143,"Hombre",2012,1694673.66524366,1618487.7799343,"[1017560, 2914413]","[590300, 1800000]"
"731","comuna","Lo Barnechea",143,"Hombre",2013,2143247.25409449,1732988.07519267,"[1337711, 3061156]","[863024, 2353488]"
"732","comuna","Lo Barnechea",143,"Hombre",2014,1637057.95282695,749372.43192886,"[979012, 2890533]","[386684, 2455327]"
"733","comuna","Lo Barnechea",143,"Hombre",2015,1407504.52403814,997335.359675782,"[1028514, 2050910]","[560827, 2037807]"
"734","comuna","Lo Espejo",144,"Hombre",2010,242881.434361378,209916.416759689,"[213922, 276635]","[199863, 245160]"
"735","comuna","Lo Espejo",144,"Hombre",2011,318575.406276008,253235.525606904,"[255961, 376447]","[224662, 289073]"
"736","comuna","Lo Espejo",144,"Hombre",2012,278180.970605196,251405.270917803,"[252586, 320860]","[231463, 287042]"
"737","comuna","Lo Espejo",144,"Hombre",2013,327946.390616266,287457.985956186,"[278246, 373503]","[248185, 336401]"
"738","comuna","Lo Espejo",144,"Hombre",2014,365677.079463548,301705.268011456,"[313023, 447924]","[289838, 350000]"
"739","comuna","Lo Espejo",144,"Hombre",2015,358792.248672301,300081.183474654,"[307809, 407291]","[290078, 352070]"
"740","comuna","Lo Prado",145,"Hombre",2010,337634.828914998,282936.200392937,"[266506, 402906]","[210848, 345540]"
"741","comuna","Lo Prado",145,"Hombre",2011,361837.038558063,299041.083012127,"[288950, 451273]","[226172, 419895]"
"742","comuna","Lo Prado",145,"Hombre",2012,364163.506730275,353845.550433706,"[320012, 418690]","[273772, 400000]"
"743","comuna","Lo Prado",145,"Hombre",2013,399078.008040483,374772.330486006,"[336934, 464909]","[289631, 449766]"
"744","comuna","Lo Prado",145,"Hombre",2014,381142.509414229,301093.82721273,"[330930, 432887]","[299944, 391431]"
"745","comuna","Lo Prado",145,"Hombre",2015,378355.158942693,346558.990991292,"[317930, 431895]","[300039, 392963]"
"746","comuna","Lolol",146,"Hombre",2010,177476.7204541,200195.73302016,"[130900, 214043]","[100098, 250245]"
"747","comuna","Lolol",146,"Hombre",2011,174226.913276051,182879.643669446,"[105054, 236192]","[50242, 251208]"
"748","comuna","Lolol",146,"Hombre",2012,461747.680919031,407276.538886841,"[340068, 584538]","[301686, 618457]"
"749","comuna","Lolol",146,"Hombre",2013,402745.232715772,350474.469046545,"[266215, 531004]","[210285, 600813]"
"750","comuna","Lolol",146,"Hombre",2014,350869.243888572,280392.26833428,"[243237, 501886]","[214715, 542092]"
"751","comuna","Lolol",146,"Hombre",2015,483788.081929859,434764.306410722,"[262801, 705007]","[188681, 702852]"
"752","comuna","Loncoche",147,"Hombre",2010,163641.816557992,147354.334989838,"[105815, 228679]","[65713, 172436]"
