"","sex","geography_name","geography_id","year","ub_weighted_median"
"473","Hombre","Fresia",94,2010,196207
"474","Hombre","Fresia",94,2011,254246
"475","Hombre","Fresia",94,2012,198272
"476","Hombre","Fresia",94,2013,289000
"477","Hombre","Fresia",94,2014,202085
"478","Hombre","Fresia",94,2015,316639
"479","Hombre","Frutillar",95,2010,249829
"480","Hombre","Frutillar",95,2011,391232
"481","Hombre","Frutillar",95,2012,457912
"482","Hombre","Frutillar",95,2013,280380
"483","Hombre","Frutillar",95,2014,239842
"484","Hombre","Frutillar",95,2015,350102
"485","Hombre","Futrono",97,2010,391732
"486","Hombre","Futrono",97,2011,227271
"487","Hombre","Futrono",97,2012,308008
"488","Hombre","Galvarino",98,2010,250000
"489","Hombre","Galvarino",98,2011,130000
"490","Hombre","Galvarino",98,2012,451083
"491","Hombre","Galvarino",98,2013,255000
"492","Hombre","Galvarino",98,2014,188082
"493","Hombre","Galvarino",98,2015,204010
"494","Hombre","General Lagos",99,2010,441932
"495","Hombre","General Lagos",99,2013,341350
"496","Hombre","General Lagos",99,2014,200333
"497","Hombre","General Lagos",99,2015,463000
"498","Hombre","Gorbea",100,2010,185192
"499","Hombre","Gorbea",100,2011,365513
"500","Hombre","Gorbea",100,2012,221808
"501","Hombre","Gorbea",100,2013,272206
"502","Hombre","Gorbea",100,2014,308263
"503","Hombre","Gorbea",100,2015,688782
"504","Hombre","Graneros",101,2010,310303
"505","Hombre","Graneros",101,2011,329190
"506","Hombre","Graneros",101,2012,372886
"507","Hombre","Graneros",101,2013,350474
"508","Hombre","Graneros",101,2014,446973
"509","Hombre","Graneros",101,2015,489894
"510","Hombre","Hijuelas",103,2010,191492
"511","Hombre","Hijuelas",103,2011,218871
"512","Hombre","Hijuelas",103,2012,301353
"513","Hombre","Hijuelas",103,2013,298867
"514","Hombre","Hijuelas",103,2014,339564
"515","Hombre","Hijuelas",103,2015,393732
"516","Hombre","Hualañé",105,2010,200196
"517","Hombre","Hualañé",105,2011,182880
"518","Hombre","Hualañé",105,2012,252125
"519","Hombre","Hualañé",105,2013,355827
"520","Hombre","Hualañé",105,2014,304491
"521","Hombre","Hualañé",105,2015,337921
"522","Hombre","Hualpén",106,2010,305808
"523","Hombre","Hualpén",106,2011,323451
"524","Hombre","Hualpén",106,2012,388621
"525","Hombre","Hualpén",106,2013,370025
"526","Hombre","Hualpén",106,2014,401128
"527","Hombre","Hualpén",106,2015,381548
"528","Hombre","Hualqui",107,2010,344459
"529","Hombre","Hualqui",107,2011,312233
"530","Hombre","Hualqui",107,2012,281175
