"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"495","Hombre","Parcial","Malleco","p92",2014,50428
"496","Hombre","Parcial","Malleco","p92",2015,55209
"497","Hombre","Parcial","Marga Marga","p58",2010,78917
"498","Hombre","Parcial","Marga Marga","p58",2011,59808
"499","Hombre","Parcial","Marga Marga","p58",2012,40225
"500","Hombre","Parcial","Marga Marga","p58",2013,79969
"501","Hombre","Parcial","Marga Marga","p58",2014,93818
"502","Hombre","Parcial","Marga Marga","p58",2015,120489
"503","Hombre","Parcial","Melipilla","p135",2010,58057
"504","Hombre","Parcial","Melipilla","p135",2011,74721
"505","Hombre","Parcial","Melipilla","p135",2012,94419
"506","Hombre","Parcial","Melipilla","p135",2013,119894
