"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","lb_mean_income","ub_mean_income","lb_median_income","ub_median_income","lb_gini_income","ub_gini_income"
"251","provincia","Tierra del Fuego","p123","1998",256063,77805,0.756,132674,462107,70036,83596,0.556,0.854
"252","provincia","Tocopilla","p23","1998",88638,62750,0.458,82273,95747,59416,65470,0.434,0.492
"253","provincia","Última Esperanza","p124","1998",112526,61287,0.547,101376,123061,58650,65308,0.506,0.58
"254","provincia","Valdivia","p141","1998",84640,45750,0.561,76904,95707,43567,47889,0.526,0.593
"255","provincia","Valparaíso","p51","1998",107735,63751,0.512,104175,111271,61861,66184,0.5,0.523
"256","provincia","Antofagasta","p21","2000",123384,72609,0.527,117104,132382,69638,75742,0.501,0.549
"257","provincia","Arauco","p82","2000",66612,40074,0.504,63870,69405,39563,40616,0.488,0.52
"258","provincia","Arica","p151","2000",106927,58655,0.557,98194,117121,56000,63512,0.522,0.584
"259","provincia","Aysén","p112","2000",122707,70413,0.532,111330,135842,68259,72277,0.494,0.569
"260","provincia","Bíobío","p83","2000",67984,42841,0.5,65950,70087,42085,43716,0.485,0.509
"261","provincia","Cachapoal","p61","2000",87307,55833,0.48,85044,89764,54780,56476,0.471,0.493
"262","provincia","Capitán Prat","p113","2000",76249,52440,0.434,66129,92091,46222,63982,0.375,0.488
"263","provincia","Cardenal Caro","p62","2000",66895,47108,0.428,64805,68278,46584,48723,0.416,0.439
"264","provincia","Cauquenes","p72","2000",76876,43696,0.541,70191,87065,42057,45180,0.506,0.593
"265","provincia","Cautín","p91","2000",72158,40123,0.556,69860,74940,39656,40770,0.543,0.57
"266","provincia","Chacabuco","p133","2000",81291,56362,0.477,76972,85429,53847,57808,0.456,0.501
"267","provincia","Chañaral","p32","2000",108170,69719,0.488,101233,113665,65178,73320,0.46,0.506
"268","provincia","Chiloé","p102","2000",86575,59897,0.442,84178,89294,58668,61630,0.43,0.454
"269","provincia","Choapa","p42","2000",64767,45174,0.466,61647,67651,44193,46333,0.447,0.488
"270","provincia","Colchagua","p63","2000",87011,51406,0.508,80939,96683,50000,52647,0.475,0.557
"271","provincia","Concepción","p81","2000",80390,52123,0.478,78229,82163,51320,52655,0.469,0.487
"272","provincia","Copiapó","p31","2000",93440,57535,0.492,86863,99182,54807,59031,0.462,0.514
"273","provincia","Cordillera","p152","2000",137576,70000,0.588,121764,172709,68067,72027,0.535,0.662
"274","provincia","Coyhaique","p111","2000",129796,81716,0.51,118107,138330,78830,88546,0.475,0.532
"275","provincia","Curicó","p73","2000",102767,54238,0.574,95837,110280,52773,55089,0.545,0.6
"276","provincia","El Loa","p22","2000",99473,62143,0.483,94128,105752,60221,64347,0.465,0.504
