"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"197","provincia","Bíobío","p83","1994","Hombre",109882,64260,"[101849, 124364]","[60520, 67325]"
"198","provincia","Cachapoal","p61","1994","Hombre",158645,85680,"[144015, 179621]","[85680, 90914]"
"199","provincia","Cardenal Caro","p62","1994","Hombre",71595,55692,"[60703, 81199]","[55692, 55692]"
"200","provincia","Cauquenes","p72","1994","Hombre",114722,58905,"[92389, 144556]","[53550, 64054]"
"201","provincia","Cautín","p91","1994","Hombre",168882,74970,"[145629, 193874]","[69831, 75650]"
"202","provincia","Chacabuco","p133","1994","Hombre",115743,85680,"[107518, 124776]","[85680, 92106]"
"203","provincia","Chañaral","p32","1994","Hombre",173032,128520,"[158722, 191912]","[117810, 139230]"
"204","provincia","Chiloé","p102","1994","Hombre",127529,72624,"[104781, 153501]","[64260, 87220]"
"205","provincia","Choapa","p42","1994","Hombre",126404,60520,"[102403, 158339]","[57834, 64260]"
"206","provincia","Colchagua","p63","1994","Hombre",101146,64260,"[81843, 128589]","[60520, 64260]"
"207","provincia","Concepción","p81","1994","Hombre",167600,90780,"[154423, 183395]","[85680, 96390]"
"208","provincia","Copiapó","p31","1994","Hombre",140736,96390,"[121757, 156649]","[85680, 105910]"
"209","provincia","Cordillera","p152","1994","Hombre",198806,128520,"[173407, 228113]","[121040, 139230]"
"210","provincia","Coyhaique","p111","1994","Hombre",166329,109221,"[147021, 184802]","[103957, 121040]"
"211","provincia","Curicó","p73","1994","Hombre",151168,64260,"[103736, 246704]","[64260, 64260]"
"212","provincia","El Loa","p22","1994","Hombre",232565,144568,"[198648, 280937]","[128520, 160650]"
"213","provincia","Elqui","p41","1994","Hombre",149238,85680,"[135592, 165279]","[85680, 91614]"
"214","provincia","Huasco","p33","1994","Hombre",157979,90780,"[137675, 178127]","[85680, 105910]"
"215","provincia","Iquique","p11","1994","Hombre",195308,128520,"[172240, 227716]","[121040, 132536]"
"216","provincia","Limarí","p43","1994","Hombre",111636,65648,"[98149, 126849]","[64260, 74970]"
"217","provincia","Linares","p74","1994","Hombre",100249,64260,"[91637, 108524]","[60520, 64260]"
"218","provincia","Llanquihue","p101","1994","Hombre",145995,74970,"[123869, 165119]","[69433, 76050]"
"219","provincia","Los Andes","p53","1994","Hombre",169562,96390,"[146738, 197114]","[86751, 107100]"
"220","provincia","Magallanes","p121","1994","Hombre",203240,151300,"[186553, 220745]","[139230, 160650]"
"221","provincia","Maipo","p134","1994","Hombre",196342,107100,"[167849, 234154]","[101985, 121040]"
"222","provincia","Malleco","p92","1994","Hombre",111418,74970,"[98643, 127107]","[64614, 75650]"
"223","provincia","Marga Marga","p58","1994","Hombre",164777,107100,"[148075, 182986]","[96390, 118234]"
"224","provincia","Melipilla","p135","1994","Hombre",123155,85680,"[110389, 141435]","[78638, 88893]"
"225","provincia","Ñuble","p84","1994","Hombre",95228,60520,"[88640, 103497]","[55858, 64260]"
"226","provincia","Osorno","p103","1994","Hombre",138682,74970,"[116708, 161870]","[64260, 79873]"
"227","provincia","Petorca","p54","1994","Hombre",129498,85680,"[114739, 142842]","[78071, 90780]"
"228","provincia","Quillota","p55","1994","Hombre",121825,80325,"[109356, 133205]","[75650, 85680]"
"229","provincia","Ranco","p142","1994","Hombre",157489,85680,"[115174, 216417]","[74970, 96390]"
"230","provincia","San Antonio","p56","1994","Hombre",135078,90780,"[119296, 155850]","[85680, 99764]"
"231","provincia","San Felipe","p57","1994","Hombre",131563,85166,"[119164, 147436]","[75822, 85680]"
"232","provincia","Santiago","p131","1994","Hombre",271153,128520,"[237627, 321379]","[128520, 128520]"
"233","provincia","Talagante","p136","1994","Hombre",126851,87754,"[117423, 134917]","[85680, 95865]"
"234","provincia","Talca","p71","1994","Hombre",117558,72828,"[110826, 124374]","[64260, 74970]"
"235","provincia","Tamarugal","p12","1994","Hombre",95001,69615,"[65728, 137650]","[30260, 181560]"
"236","provincia","Tierra del Fuego","p123","1994","Hombre",145505,90930,"[104110, 214619]","[77362, 192780]"
"237","provincia","Tocopilla","p23","1994","Hombre",150742,107100,"[138827, 164989]","[103325, 117810]"
"238","provincia","Última Esperanza","p124","1994","Hombre",126081,91140,"[96973, 185240]","[69601, 106812]"
"239","provincia","Valdivia","p141","1994","Hombre",114187,64260,"[102144, 127615]","[61762, 71135]"
"240","provincia","Valparaíso","p51","1994","Hombre",189905,113929,"[170725, 206878]","[107100, 123165]"
"241","provincia","Antofagasta","p21","1994","Mujer",148996,77112,"[103694, 223363]","[74970, 90364]"
