"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1751","comuna","Vallenar","330","1996","Mujer",205142,120000,"[162036, 269715]","[103301, 132795]"
"1752","comuna","Valparaíso","331","1996","Hombre",146208,102150,"[133102, 164231]","[100000, 120000]"
"1753","comuna","Valparaíso","331","1996","Mujer",146208,102150,"[133102, 164231]","[100000, 120000]"
"1754","comuna","Victoria","333","1996","Hombre",158788,66095,"[102033, 222259]","[65000, 76000]"
"1755","comuna","Victoria","333","1996","Mujer",158788,66095,"[102033, 222259]","[65000, 76000]"
"1756","comuna","Villa Alegre","336","1996","Hombre",108275,80000,"[84149, 132632]","[67638, 100000]"
"1757","comuna","Villa Alegre","336","1996","Mujer",108275,80000,"[84149, 132632]","[67638, 100000]"
"1758","comuna","Villa Alemana","337","1996","Hombre",200246,137306,"[181176, 227149]","[120000, 146663]"
"1759","comuna","Villa Alemana","337","1996","Mujer",200246,137306,"[181176, 227149]","[120000, 146663]"
"1760","comuna","Villarrica","338","1996","Hombre",146640,90000,"[124923, 190168]","[81720, 100000]"
"1761","comuna","Villarrica","338","1996","Mujer",146640,90000,"[124923, 190168]","[81720, 100000]"
"1762","comuna","Viña del Mar","339","1996","Hombre",210874,122580,"[181945, 243394]","[120000, 137320]"
"1763","comuna","Viña del Mar","339","1996","Mujer",210874,122580,"[181945, 243394]","[120000, 137320]"
"1949","comuna","Alhué","2","1998","Hombre",125937,97750,"[114507, 137307]","[89834, 110708]"
"1950","comuna","Alhué","2","1998","Mujer",119410,87524,"[89384, 155755]","[78558, 100400]"
"1951","comuna","Andacollo","7","1998","Hombre",157641,120480,"[135147, 192656]","[99009, 130520]"
"1952","comuna","Andacollo","7","1998","Mujer",130076,90360,"[95135, 172585]","[68308, 121292]"
"1953","comuna","Angol","8","1998","Hombre",141333,94041,"[127608, 157265]","[85807, 100400]"
"1954","comuna","Angol","8","1998","Mujer",141009,80320,"[119433, 166576]","[80320, 100400]"
"1955","comuna","Antofagasta","9","1998","Hombre",379620,232268,"[324621, 444372]","[200800, 251000]"
"1956","comuna","Antofagasta","9","1998","Mujer",248839,140560,"[198134, 316443]","[120480, 175563]"
"1957","comuna","Arica","12","1998","Hombre",240297,170680,"[204749, 289998]","[148100, 189756]"
"1958","comuna","Arica","12","1998","Mujer",141684,120480,"[126424, 162026]","[100400, 150600]"
"1959","comuna","Aysén","13","1998","Hombre",205930,140560,"[187757, 227405]","[129836, 150600]"
"1960","comuna","Aysén","13","1998","Mujer",198051,120480,"[156286, 242804]","[100400, 150600]"
"1961","comuna","Buin","14","1998","Hombre",218289,125655,"[178557, 251754]","[120480, 140560]"
"1962","comuna","Buin","14","1998","Mujer",158453,112161,"[140795, 183093]","[100400, 140757]"
"1965","comuna","Calama","19","1998","Hombre",375776,251000,"[300916, 450608]","[200800, 291814]"
"1966","comuna","Calama","19","1998","Mujer",194248,120480,"[151568, 223528]","[95712, 173552]"
"1967","comuna","Calera","22","1998","Hombre",232885,137187,"[187844, 277459]","[120175, 156400]"
"1968","comuna","Calera","22","1998","Mujer",134617,84845,"[109147, 169167]","[78112, 105671]"
"1969","comuna","Calera de Tango","23","1998","Hombre",201500,120480,"[162931, 257249]","[120480, 130520]"
"1970","comuna","Calera de Tango","23","1998","Mujer",123174,97421,"[105337, 144989]","[87414, 102438]"
"1971","comuna","Cartagena","30","1998","Hombre",241945,160640,"[196821, 276167]","[140867, 195500]"
"1972","comuna","Cartagena","30","1998","Mujer",170157,100400,"[121513, 225793]","[80805, 150600]"
"1973","comuna","Casablanca","31","1998","Hombre",201456,120480,"[173761, 231207]","[105169, 140560]"
"1974","comuna","Casablanca","31","1998","Mujer",135101,96338,"[113869, 158549]","[84328, 118095]"
"1977","comuna","Cauquenes","34","1998","Hombre",160048,90360,"[125536, 211044]","[82759, 109218]"
"1978","comuna","Cauquenes","34","1998","Mujer",110981,85340,"[89341, 146987]","[68295, 90360]"
"1979","comuna","Cerro Navia","36","1998","Hombre",184393,150895,"[165722, 205308]","[144230, 161964]"
"1980","comuna","Cerro Navia","36","1998","Mujer",130551,110603,"[113607, 159585]","[100400, 120480]"
"1981","comuna","Chañaral","39","1998","Hombre",178423,147936,"[153085, 204556]","[120480, 170680]"
"1982","comuna","Chañaral","39","1998","Mujer",128046,90360,"[106696, 152794]","[80320, 140560]"
"1983","comuna","Chillán","43","1998","Hombre",224285,150600,"[195774, 266100]","[120480, 166817]"
"1984","comuna","Chillán","43","1998","Mujer",168720,120480,"[144751, 193311]","[95380, 156400]"
"1985","comuna","Chimbarongo","45","1998","Hombre",126082,90360,"[111543, 144182]","[85340, 100400]"
"1986","comuna","Chimbarongo","45","1998","Mujer",99700,81233,"[84568, 123093]","[79517, 85340]"
"1989","comuna","Coihueco","55","1998","Hombre",206247,67268,"[72491, 563118]","[64547, 71841]"
"1990","comuna","Coihueco","55","1998","Mujer",66845,51390,"[55648, 78893]","[41309, 69293]"
"1991","comuna","Colina","59","1998","Hombre",236997,140560,"[177692, 316139]","[126429, 150600]"
"1992","comuna","Colina","59","1998","Mujer",156033,100400,"[123379, 198437]","[90360, 120480]"
"1993","comuna","Collipulli","60","1998","Hombre",144853,94890,"[120960, 175880]","[80822, 101907]"
"1994","comuna","Collipulli","60","1998","Mujer",119655,98228,"[92617, 142756]","[78613, 130520]"
"1995","comuna","Combarbalá","62","1998","Hombre",122693,90360,"[108286, 148843]","[80822, 99238]"
"1996","comuna","Combarbalá","62","1998","Mujer",103347,80822,"[83969, 120637]","[76267, 92571]"
"1997","comuna","Concepción","64","1998","Hombre",457214,180720,"[364419, 560976]","[160070, 200800]"
