"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"168","comuna","Catemu","33","Hombre","Asalariado Sector Privado",2013,358397.542201278,350760.632015753,"[304736, 423212]","[316276, 398489]"
"169","comuna","Catemu","33","Hombre","Asalariado Sector Privado",2014,459931.903631226,476454.984892716,"[392835, 536158]","[301485, 520653]"
"170","comuna","Catemu","33","Hombre","Asalariado Sector Privado",2015,430517.958756741,380032.876173122,"[355604, 508353]","[300501, 450021]"
"171","comuna","Cauquenes","34","Hombre","Asalariado Sector Privado",2010,185685.835777499,171882.36443576,"[165288, 215307]","[150147, 172884]"
"172","comuna","Cauquenes","34","Hombre","Asalariado Sector Privado",2011,209406.903524231,181425.539224843,"[184058, 239584]","[172618, 203475]"
"173","comuna","Cauquenes","34","Hombre","Asalariado Sector Privado",2012,214840.368492323,200902.06185567,"[192225, 238449]","[191368, 220000]"
"174","comuna","Cauquenes","34","Hombre","Asalariado Sector Privado",2013,250029.470371435,210484.721752329,"[228511, 282880]","[210000, 249056]"
"175","comuna","Cauquenes","34","Hombre","Asalariado Sector Privado",2014,266640.734381318,224957.809863117,"[230659, 315881]","[219959, 249953]"
"176","comuna","Cauquenes","34","Hombre","Asalariado Sector Privado",2015,268018.605131135,240000,"[220940, 333435]","[210057, 250000]"
"177","comuna","Cerrillos","35","Hombre","Asalariado Sector Privado",2010,256279.719979927,213885.513539568,"[210283, 307071]","[199863, 300000]"
"178","comuna","Cerrillos","35","Hombre","Asalariado Sector Privado",2011,414644.171479422,328820.732308258,"[303729, 545956]","[243715, 623202]"
"179","comuna","Cerrillos","35","Hombre","Asalariado Sector Privado",2012,515633.640119368,359856.790942913,"[394408, 656454]","[257085, 687400]"
"180","comuna","Cerrillos","35","Hombre","Asalariado Sector Privado",2013,488564.789412951,468708.149676738,"[369617, 605994]","[287638, 565010]"
"181","comuna","Cerrillos","35","Hombre","Asalariado Sector Privado",2014,502272.08079679,499906.244140259,"[404622, 582777]","[383000, 573162]"
"182","comuna","Cerrillos","35","Hombre","Asalariado Sector Privado",2015,602765.50926686,419768.903792924,"[414439, 806856]","[305508, 522258]"
"183","comuna","Cerro Navia","36","Hombre","Asalariado Sector Privado",2010,360029.17448669,213533.632115396,"[244180, 664919]","[191324, 296504]"
"184","comuna","Cerro Navia","36","Hombre","Asalariado Sector Privado",2011,331383.54275882,270932.700571742,"[276307, 379370]","[249201, 324971]"
"185","comuna","Cerro Navia","36","Hombre","Asalariado Sector Privado",2012,353607.833458902,309949.247969968,"[297083, 417808]","[281574, 381816]"
"186","comuna","Cerro Navia","36","Hombre","Asalariado Sector Privado",2013,361300.853420021,316916.616895212,"[317356, 432931]","[274542, 380613]"
"187","comuna","Cerro Navia","36","Hombre","Asalariado Sector Privado",2014,418219.125607046,365904.04445902,"[377786, 468761]","[343318, 404169]"
"188","comuna","Cerro Navia","36","Hombre","Asalariado Sector Privado",2015,387664.111842943,345191.726870003,"[350740, 432545]","[307353, 401050]"
"189","comuna","Chañaral","39","Hombre","Asalariado Sector Privado",2010,350795.385858633,299794.821690278,"[267624, 537581]","[249592, 299926]"
"190","comuna","Chañaral","39","Hombre","Asalariado Sector Privado",2011,535613.612096789,391708.014108516,"[403258, 741385]","[299041, 701738]"
"191","comuna","Chañaral","39","Hombre","Asalariado Sector Privado",2012,627933.636705682,536684.935615454,"[413692, 835232]","[342364, 1004510]"
"192","comuna","Chañaral","39","Hombre","Asalariado Sector Privado",2013,466594.380316944,451652.865919931,"[390114, 550343]","[341882, 597734]"
"193","comuna","Chañaral","39","Hombre","Asalariado Sector Privado",2014,439780.945531415,404169.0354368,"[304692, 563591]","[211969, 589079]"
"194","comuna","Chañaral","39","Hombre","Asalariado Sector Privado",2015,554514.059736494,545464.714721453,"[386359, 670789]","[347410, 724394]"
"195","comuna","Chanco","38","Hombre","Asalariado Sector Privado",2010,144619.66243385,141902.882266732,"[120314, 168327]","[132129, 170403]"
"196","comuna","Chanco","38","Hombre","Asalariado Sector Privado",2011,239015.76856539,198469.35420962,"[185620, 292094]","[160677, 281353]"
"197","comuna","Chanco","38","Hombre","Asalariado Sector Privado",2012,231881.29713806,216942.865187744,"[202834, 271892]","[196096, 237165]"
"198","comuna","Chanco","38","Hombre","Asalariado Sector Privado",2013,289471.718354876,280168.29677178,"[253081, 332067]","[213627, 335865]"
"199","comuna","Chanco","38","Hombre","Asalariado Sector Privado",2014,305972.39033144,233440.184267506,"[252750, 365188]","[197032, 381050]"
