"","sexo","oficio_id","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"180","Hombre","Oficiales, Operarios y Artesanos","El Loa",69300,NA,128520,NA,NA,182600,NA,NA,NA,NA,NA,NA
"181","Hombre","Profesionales y Científicos","El Loa",46086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Hombre","Técnicos y Profesionales Nivel Medio","El Loa",90600,160950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Hombre","Agricultores y  y Trabajadores Calificados","Elqui",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Hombre","Comerciantes y Vendedores","Elqui",48320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Hombre","Empleados de Oficina","Elqui",35148,NA,NA,140000,190760,NA,180000,165640,276250,306320,350000,390000
"186","Hombre","Ff.aa.","Elqui",90600,NA,117810,NA,NA,4e+05,NA,NA,NA,NA,NA,NA
"187","Hombre","Miembros del Poder Ejecutivo","Elqui",445500,NA,NA,NA,NA,NA,NA,NA,499850,NA,NA,NA
"188","Hombre","Oficiales, Operarios y Artesanos","Elqui",42280,NA,92106,NA,NA,137179,NA,NA,NA,NA,NA,NA
"189","Hombre","Operadores y Montadores","Elqui",108720,75110,107100,NA,NA,160000,NA,NA,NA,NA,NA,NA
"190","Hombre","Profesionales y Científicos","Elqui",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Hombre","Técnicos y Profesionales Nivel Medio","Elqui",51282,135033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Hombre","Trabajadores No Calificados","Elqui",51480,47748,NA,80000,85340,NA,115000,136350,182325,218800,230000,250000
"193","Hombre","Agricultores y  y Trabajadores Calificados","Huasco",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Hombre","Comerciantes y Vendedores","Huasco",53756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Hombre","Empleados de Oficina","Huasco",31408,NA,NA,189200,180720,NA,160000,176750,276250,311790,350000,6e+05
"196","Hombre","Ff.aa.","Huasco",138920,NA,107100,NA,NA,215000,NA,NA,NA,NA,NA,NA
"197","Hombre","Miembros del Poder Ejecutivo","Huasco",594000,NA,NA,NA,NA,NA,NA,NA,552500,NA,NA,NA
"198","Hombre","Oficiales, Operarios y Artesanos","Huasco",57984,NA,90780,NA,NA,150000,NA,NA,NA,NA,NA,NA
"199","Hombre","Profesionales y Científicos","Huasco",51965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Hombre","Técnicos y Profesionales Nivel Medio","Huasco",89600,85840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Hombre","Agricultores y  y Trabajadores Calificados","Iquique",56979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Hombre","Comerciantes y Vendedores","Iquique",60971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Hombre","Empleados de Oficina","Iquique",48320,NA,NA,170000,271080,NA,2e+05,181800,419900,328200,350000,350000
"204","Hombre","Ff.aa.","Iquique",160664,NA,149940,NA,NA,540000,NA,NA,NA,NA,NA,NA
"205","Hombre","Miembros del Poder Ejecutivo","Iquique",396000,NA,NA,NA,NA,NA,NA,NA,884000,NA,NA,NA
"206","Hombre","Oficiales, Operarios y Artesanos","Iquique",70064,NA,121040,NA,NA,170000,NA,NA,NA,NA,NA,NA
"207","Hombre","Operadores y Montadores","Iquique",114760,97371,113526,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"208","Hombre","Profesionales y Científicos","Iquique",78520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Hombre","Técnicos y Profesionales Nivel Medio","Iquique",108810,107300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Hombre","Trabajadores No Calificados","Iquique",132880,62137,NA,1e+05,117300,NA,125000,139901,205400,262560,260000,3e+05
"211","Hombre","Agricultores y  y Trabajadores Calificados","Limarí",32616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Hombre","Comerciantes y Vendedores","Limarí",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Hombre","Empleados de Oficina","Limarí",30554,NA,NA,101500,137548,NA,175000,166650,248431,317260,264500,3e+05
"214","Hombre","Ff.aa.","Limarí",120800,NA,160650,NA,NA,NA,NA,NA,NA,NA,NA,NA
