"","sexo","region","oficio_id","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"153","Mujer","Los Ríos","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Mujer","Magallanes","Agricultores y  y Trabajadores Calificados",19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Mujer","Maule","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Mujer","Metropolitana","Agricultores y  y Trabajadores Calificados",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Mujer","O'Higgins","Agricultores y  y Trabajadores Calificados",32616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Mujer","Tarapacá","Agricultores y  y Trabajadores Calificados",44660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Mujer","Valparaíso","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Mujer","Antofagasta","Comerciantes y Vendedores",99000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Mujer","Arica y Parinacota","Comerciantes y Vendedores",54360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Mujer","Atacama","Comerciantes y Vendedores",35032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Mujer","Aysén","Comerciantes y Vendedores",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Mujer","Bíobío","Comerciantes y Vendedores",37448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Mujer","Coquimbo","Comerciantes y Vendedores",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Mujer","Los Lagos","Comerciantes y Vendedores",22164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Mujer","Maule","Comerciantes y Vendedores",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Mujer","Metropolitana","Comerciantes y Vendedores",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Mujer","O'Higgins","Comerciantes y Vendedores",42280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Mujer","Tarapacá","Comerciantes y Vendedores",12080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Mujer","Valparaíso","Comerciantes y Vendedores",33824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Mujer","Antofagasta","Empleados de Oficina",25542,NA,NA,1e+05,130520,NA,160000,202000,243100,284440,320000,350000
"173","Mujer","Araucanía","Empleados de Oficina",21744,NA,NA,95000,100400,NA,120000,139380,182325,218800,230000,250000
"174","Mujer","Arica y Parinacota","Empleados de Oficina",24764,NA,NA,90000,150600,NA,150000,131300,182325,261648,250000,250000
"175","Mujer","Atacama","Empleados de Oficina",24160,NA,NA,115000,120480,NA,138000,161600,205400,257195,3e+05,3e+05
"176","Mujer","Aysén","Empleados de Oficina",30200,NA,NA,100092,120480,NA,164296,202000,198900,295380,3e+05,380000
"177","Mujer","Bíobío","Empleados de Oficina",18120,NA,NA,95000,120480,NA,130000,151500,198900,218800,236866,255000
"178","Mujer","Coquimbo","Empleados de Oficina",24160,NA,NA,90000,117300,NA,140000,151500,198900,218800,230000,3e+05
"179","Mujer","Los Lagos","Empleados de Oficina",21744,NA,NA,1e+05,135540,NA,133330,158570,213265,218800,250000,3e+05
"180","Mujer","Los Ríos","Empleados de Oficina",24160,NA,NA,80000,100400,NA,130000,141400,182325,251073,250000,250000
"181","Mujer","Magallanes","Empleados de Oficina",26576,NA,NA,1e+05,119476,NA,160000,200990,221000,273500,3e+05,350000
"182","Mujer","Maule","Empleados de Oficina",21744,NA,NA,90000,120480,NA,130000,141859,182325,218800,230236,265000
"183","Mujer","Metropolitana","Empleados de Oficina",30200,NA,NA,149715,150600,NA,180000,190890,232050,267260,290000,350000
"184","Mujer","O'Higgins","Empleados de Oficina",24160,NA,NA,1e+05,120480,NA,145000,151500,187850,207860,250000,290000
"185","Mujer","Tarapacá","Empleados de Oficina",31408,NA,NA,161720,150600,NA,140000,151500,221000,273500,3e+05,310000
"186","Mujer","Valparaíso","Empleados de Oficina",21744,NA,NA,108739,120480,NA,137000,151500,217132,218800,250000,270000
"187","Mujer","Antofagasta","Ff.aa.",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Mujer","Araucanía","Ff.aa.",60400,NA,160650,NA,NA,2e+05,NA,NA,NA,NA,NA,NA
"189","Mujer","Arica y Parinacota","Ff.aa.",90322,NA,166005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Mujer","Atacama","Ff.aa.",67648,NA,107100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Mujer","Aysén","Ff.aa.",96640,NA,203490,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Mujer","Bíobío","Ff.aa.",54360,NA,NA,NA,NA,190000,NA,NA,NA,NA,NA,NA
"193","Mujer","Coquimbo","Ff.aa.",57984,NA,74970,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Mujer","Los Lagos","Ff.aa.",60400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Mujer","Los Ríos","Ff.aa.",60400,NA,NA,NA,NA,350000,NA,NA,NA,NA,NA,NA
"196","Mujer","Magallanes","Ff.aa.",83956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Mujer","Maule","Ff.aa.",60400,NA,NA,NA,NA,120000,NA,NA,NA,NA,NA,NA
"198","Mujer","Metropolitana","Ff.aa.",60400,NA,89428,NA,NA,225000,NA,NA,NA,NA,NA,NA
"199","Mujer","O'Higgins","Ff.aa.",57078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Mujer","Tarapacá","Ff.aa.",72480,NA,NA,NA,NA,280000,NA,NA,NA,NA,NA,NA
"201","Mujer","Valparaíso","Ff.aa.",53152,NA,96390,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Mujer","Antofagasta","Miembros del Poder Ejecutivo",396000,NA,NA,NA,NA,NA,NA,NA,414375,NA,NA,NA
"203","Mujer","Arica y Parinacota","Miembros del Poder Ejecutivo",573111,NA,NA,NA,NA,NA,NA,NA,287560,NA,NA,NA
"204","Mujer","Atacama","Miembros del Poder Ejecutivo",235560,NA,NA,NA,NA,NA,NA,NA,552500,NA,NA,NA
"205","Mujer","Aysén","Miembros del Poder Ejecutivo",159708,NA,NA,NA,NA,NA,NA,NA,616200,NA,NA,NA
"206","Mujer","Bíobío","Miembros del Poder Ejecutivo",103860,NA,NA,NA,NA,NA,NA,NA,276250,NA,NA,NA
"207","Mujer","Coquimbo","Miembros del Poder Ejecutivo",594000,NA,NA,NA,NA,NA,NA,NA,343525,NA,NA,NA
"208","Mujer","Los Lagos","Miembros del Poder Ejecutivo",175160,NA,NA,NA,NA,NA,NA,NA,398775,NA,NA,NA
"209","Mujer","Maule","Miembros del Poder Ejecutivo",198000,NA,NA,NA,NA,NA,NA,NA,410800,NA,NA,NA
"210","Mujer","Metropolitana","Miembros del Poder Ejecutivo",221480,NA,NA,NA,NA,NA,NA,NA,462236,NA,NA,NA
"211","Mujer","Tarapacá","Miembros del Poder Ejecutivo",396000,NA,NA,NA,NA,NA,NA,NA,331500,NA,NA,NA
"212","Mujer","Valparaíso","Miembros del Poder Ejecutivo",108720,NA,NA,NA,NA,NA,NA,NA,410800,NA,NA,NA
"213","Mujer","Antofagasta","Oficiales, Operarios y Artesanos",32395,NA,58905,NA,NA,76694,NA,NA,NA,NA,NA,NA
