"","sexo","region","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"170","Mujer","Maule","Fuerzas Armadas",66961,NA,NA,NA,NA,153333,NA,16160,309400,218800,NA,598484
"171","Mujer","Metropolitana","Fuerzas Armadas",86925,NA,112812,154400,269225,235000,372000,364366,379383,581726,607043,993222
"172","Mujer","O'Higgins","Fuerzas Armadas",67228,NA,NA,150000,NA,NA,NA,NA,NA,NA,227000,NA
"173","Mujer","Tarapacá","Fuerzas Armadas",79872,NA,NA,NA,NA,280000,NA,NA,NA,485736,335000,597500
"174","Mujer","Valparaíso","Fuerzas Armadas",72686,NA,96390,NA,117133,NA,NA,NA,386750,NA,6e+05,657116
"175","Mujer","Antofagasta","Miembros del Poder Ejecutivo y Cuerpos Legislativos",336600,123308,207746,437372,388606,364448,477954,963251,807439,884479,454074,594455
"176","Mujer","Arica y Parinacota","Miembros del Poder Ejecutivo y Cuerpos Legislativos",573111,614657,454575,187139,220869,233361,222450,273582,391982,445938,320505,402401
"177","Mujer","Atacama","Miembros del Poder Ejecutivo y Cuerpos Legislativos",235560,129975,131982,377927,244555,452195,274077,346060,524911,537218,431248,434327
"178","Mujer","Aysén","Miembros del Poder Ejecutivo y Cuerpos Legislativos",159708,401968,224812,372060,430332,339132,433702,533103,654751,710443,510164,511218
"179","Mujer","Bíobío","Miembros del Poder Ejecutivo y Cuerpos Legislativos",103860,302883,135430,357429,341933,219892,333005,332514,534186,532746,285162,330340
"180","Mujer","Coquimbo","Miembros del Poder Ejecutivo y Cuerpos Legislativos",613800,310482,208223,553896,323531,343425,295279,419495,354647,527848,320324,375308
"181","Mujer","Los Lagos","Miembros del Poder Ejecutivo y Cuerpos Legislativos",175160,223052,601868,502235,377570,351509,358257,444766,510704,513517,414694,335733
"182","Mujer","Maule","Miembros del Poder Ejecutivo y Cuerpos Legislativos",174768,230263,254596,204953,255274,229245,298475,265822,598376,319546,273969,268597
"183","Mujer","Metropolitana","Miembros del Poder Ejecutivo y Cuerpos Legislativos",305646,423511,699514,607260,594816,398646,690817,693451,694330,939576,675069,829242
"184","Mujer","Tarapacá","Miembros del Poder Ejecutivo y Cuerpos Legislativos",733457,248638,248636,528723,312591,335448,260390,517943,369214,421613,423833,397364
"185","Mujer","Valparaíso","Miembros del Poder Ejecutivo y Cuerpos Legislativos",171133,502619,178046,661392,342810,384956,343345,421734,536289,436321,412077,371621
"186","Mujer","Antofagasta","Operadores y Montadores de Instalaciones y Máquinas",132880,147340,202753,141434,120480,170940,229360,388864,455262,522775,364615,506944
"187","Mujer","Los Lagos","Operadores y Montadores de Instalaciones y Máquinas",54360,64489,116260,52750,116309,114636,151994,151941,180518,393314,252432,260212
"188","Mujer","Metropolitana","Operadores y Montadores de Instalaciones y Máquinas",92291,107139,94675,128614,154363,154299,196207,222714,297278,298113,250167,321317
"189","Mujer","Tarapacá","Operadores y Montadores de Instalaciones y Máquinas",43488,55635,105145,367740,121790,78195,165269,206248,167518,437593,487500,372619
"190","Mujer","Valparaíso","Operadores y Montadores de Instalaciones y Máquinas",4228,126425,70898,135170,186753,126319,186915,193332,360581,420470,285496,295744
"191","Mujer","Antofagasta","Profesionales, Científicos e Intelectuales",73844,142462,226154,280501,355221,379663,458301,581091,681364,712597,807176,782936
"192","Mujer","Araucanía","Profesionales, Científicos e Intelectuales",70988,102467,189841,168392,294247,298302,406963,432545,469036,548109,634477,719228
"193","Mujer","Arica y Parinacota","Profesionales, Científicos e Intelectuales",60942,143733,163882,177975,231802,449581,438726,344108,477476,553002,653470,793287
"194","Mujer","Atacama","Profesionales, Científicos e Intelectuales",86564,158791,178447,221315,266316,279031,392866,513157,507938,695400,702518,847522
"195","Mujer","Aysén","Profesionales, Científicos e Intelectuales",81346,121901,186622,249327,333537,488548,493375,518375,673931,966216,905408,937890
"196","Mujer","Bíobío","Profesionales, Científicos e Intelectuales",55179,118276,171700,227024,296161,312448,380087,412636,484248,626921,623090,687502
"197","Mujer","Coquimbo","Profesionales, Científicos e Intelectuales",58175,114559,144297,249693,258418,275323,343750,428593,449537,516146,610415,685633
"198","Mujer","Los Lagos","Profesionales, Científicos e Intelectuales",66744,163790,166289,216989,291413,319461,412812,511370,550969,702843,668645,799042
"199","Mujer","Los Ríos","Profesionales, Científicos e Intelectuales",53846,118495,187996,177606,345722,332790,383718,391915,493281,662557,588356,679232
