"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"168","Hombre","Fuerzas Armadas","Colina",69460,96570,NA,197000,213350,317926,320000,202000,552500,NA,NA,625000
"169","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Colina",851400,97850,226950,388716,782000,427102,2169750,1363500,NA,821600,120000,450000
"170","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Colina",75500,80475,121668,150000,150600,149000,160000,197275,276250,328200,290000,3e+05
"171","Hombre","Profesionales, Científicos e Intelectuales","Colina",51944,75110,NA,3e+05,2166400,913000,851850,782750,552500,547000,2e+05,4e+05
"172","Hombre","Técnicos y Profesionales de Nivel Medio","Colina",54360,76934,139230,2e+05,388502,250000,320000,282800,303875,718900,440000,375000
"173","Hombre","Trabajadores Agropecuarios y Pesqueros","Colina",36815,107300,107100,1e+05,120480,146080,233560,199800,254150,278970,210000,3e+05
"174","Hombre","Trabajadores de Artes Mecánicas y Otros","Colina",42280,85840,107100,140000,160640,155000,180000,282800,285361,328200,320000,4e+05
"175","Hombre","Trabajadores de Servicios y Vendedores","Colina",39266,53144,85680,120000,125500,150000,2e+05,232300,225940,328200,1e+05,250000
"176","Hombre","Empleados de Oficina","Collipulli",36240,NA,NA,75000,94728,NA,165000,NA,NA,NA,NA,3e+05
"177","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Collipulli",29700,391400,NA,286020,351900,182600,494000,454480,NA,188100,325000,670000
"178","Hombre","Profesionales, Científicos e Intelectuales","Collipulli",35940,128760,128520,220000,230920,382600,198800,555500,580936,656400,3e+06,9e+05
"179","Hombre","Técnicos y Profesionales de Nivel Medio","Collipulli",99000,NA,NA,85500,349392,190000,198800,353500,442000,369720,6e+05,5e+05
"180","Hombre","Trabajadores Agropecuarios y Pesqueros","Collipulli",31408,40772,53550,61290,88770,88000,90800,84970,182325,202390,190000,250000
"181","Hombre","Trabajadores de Artes Mecánicas y Otros","Collipulli",52770,NA,NA,88468,113452,1e+05,106517,137335,202150,328200,250000,241000
"182","Hombre","Trabajadores de Servicios y Vendedores","Collipulli",36240,123395,91570,74000,220880,100040,150000,141400,202150,198014,190000,248520
"183","Hombre","Fuerzas Armadas","Combarbalá",181200,NA,160650,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Combarbalá",65340,NA,302600,190000,215050,182600,197600,586872,332475,287560,1e+05,NA
"185","Hombre","Profesionales, Científicos e Intelectuales","Combarbalá",23760,42920,212594,273000,210840,3e+05,395200,646400,596700,601700,837500,8e+05
"186","Hombre","Técnicos y Profesionales de Nivel Medio","Combarbalá",59400,78329,97189,290000,105420,134560,250000,606000,353600,201543,315000,255000
"187","Hombre","Trabajadores Agropecuarios y Pesqueros","Combarbalá",32616,58710,58905,81720,78200,1e+05,120000,126250,168512,199108,NA,240000
"188","Hombre","Trabajadores de Artes Mecánicas y Otros","Combarbalá",18120,58710,54621,102150,120480,146080,124280,256880,221000,390260,266500,225000
"189","Hombre","Trabajadores de Servicios y Vendedores","Combarbalá",35032,46968,93585,170000,NA,1e+05,112000,134810,513500,196920,179368,330000
"190","Hombre","Empleados de Oficina","Concepción",36240,107300,117810,165000,220880,2e+05,2e+05,181800,273488,273500,337500,4e+05
"191","Hombre","Fuerzas Armadas","Concepción",118800,175504,165182,135000,180720,140000,355776,348450,NA,793150,750000,850000
"192","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Concepción",453732,539700,302600,1010750,391000,292160,395200,988000,663000,1232400,4e+05,3e+05
"193","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Concepción",84560,64380,90500,90000,122148,150000,160000,181800,221000,262560,315006,330000
"194","Hombre","Profesionales, Científicos e Intelectuales","Concepción",120800,219828,321300,5e+05,411640,5e+05,4e+05,505000,607750,875200,8e+05,8e+05
"195","Hombre","Técnicos y Profesionales de Nivel Medio","Concepción",59400,123395,183676,202150,351400,462672,270000,313360,335294,424200,4e+05,5e+05
"196","Hombre","Trabajadores Agropecuarios y Pesqueros","Concepción",36240,59015,60520,65645,234600,1e+05,121000,147215,205400,102700,210000,241000
