"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"164","region","Metropolitana",13,"Hombre","Empleados de oficina",2014,478849.28080235,400000,"[443706, 529789]","[389927, 426485]"
"165","region","Metropolitana",13,"Hombre","Empleados de oficina",2015,460615.473882366,400000,"[433519, 489292]","[351426, 404554]"
"166","region","O'Higgins",6,"Hombre","Empleados de oficina",2010,439180.589184228,369499.627141468,"[373566, 556494]","[307938, 463208]"
"167","region","O'Higgins",6,"Hombre","Empleados de oficina",2011,362214.757896659,306114.059171281,"[307769, 440747]","[263449, 423000]"
"168","region","O'Higgins",6,"Hombre","Empleados de oficina",2012,473847.608401608,349574.715476224,"[369712, 660158]","[280000, 550000]"
"169","region","O'Higgins",6,"Hombre","Empleados de oficina",2013,542940.466199075,374885.365525991,"[381430, 801727]","[324250, 455218]"
"170","region","O'Higgins",6,"Hombre","Empleados de oficina",2014,471789.939803338,399924.995312207,"[379252, 555710]","[359861, 500956]"
"171","region","O'Higgins",6,"Hombre","Empleados de oficina",2015,459122.492368157,420809.744241669,"[401230, 523512]","[350095, 495620]"
"172","region","Tarapacá",1,"Hombre","Empleados de oficina",2010,352165.590963876,263877.687425419,"[290759, 458814]","[249829, 345408]"
"173","region","Tarapacá",1,"Hombre","Empleados de oficina",2011,364987.658914707,300000,"[295787, 449748]","[221063, 385090]"
"174","region","Tarapacá",1,"Hombre","Empleados de oficina",2012,422155.525342599,338104.285142684,"[331991, 516697]","[275130, 400508]"
"175","region","Tarapacá",1,"Hombre","Empleados de oficina",2013,568586.929665034,399371.975153522,"[410125, 942232]","[307066, 501892]"
"176","region","Tarapacá",1,"Hombre","Empleados de oficina",2014,455145.922946748,406962.209556944,"[359177, 551104]","[299953, 480951]"
"177","region","Tarapacá",1,"Hombre","Empleados de oficina",2015,485233.416982268,400015.224976797,"[403418, 594294]","[300081, 600000]"
"178","region","Valparaíso",5,"Hombre","Empleados de oficina",2010,352235.103313945,299794.821690278,"[304724, 406613]","[250000, 345319]"
"179","region","Valparaíso",5,"Hombre","Empleados de oficina",2011,364659.541723265,299041.083012127,"[301492, 473395]","[234451, 328000]"
"180","region","Valparaíso",5,"Hombre","Empleados de oficina",2012,413242.416975741,327526.421150952,"[353411, 537198]","[294322, 380186]"
"181","region","Valparaíso",5,"Hombre","Empleados de oficina",2013,447003.778854526,398489.480309297,"[398692, 517790]","[350000, 428545]"
"182","region","Valparaíso",5,"Hombre","Empleados de oficina",2014,506334.701076988,419921.245077818,"[446618, 595653]","[383270, 499906]"
"183","region","Valparaíso",5,"Hombre","Empleados de oficina",2015,483522.874205383,400108.244632872,"[417257, 592838]","[343919, 431600]"
