"","sex","company_size","geography_name","geography_id","year","weighted_mean"
"1047","Hombre","Entre 50 y 199","Iquique","p11",2012,541992.759646764
"1048","Hombre","Entre 50 y 199","Iquique","p11",2013,556945.699241971
"1049","Hombre","Entre 50 y 199","Iquique","p11",2014,620690.153203589
"1050","Hombre","Entre 50 y 199","Iquique","p11",2015,804920.71687983
"1051","Hombre","Entre 50 y 199","Limarí","p43",2010,310012.644357641
"1052","Hombre","Entre 50 y 199","Limarí","p43",2011,242954.583686426
"1053","Hombre","Entre 50 y 199","Limarí","p43",2012,386586.26754479
"1054","Hombre","Entre 50 y 199","Limarí","p43",2013,398311.206117508
"1055","Hombre","Entre 50 y 199","Limarí","p43",2014,360423.118973304
"1056","Hombre","Entre 50 y 199","Limarí","p43",2015,403334.133891228
"1057","Hombre","Entre 50 y 199","Linares","p74",2010,233724.012486483
"1058","Hombre","Entre 50 y 199","Linares","p74",2011,277324.76460743
"1059","Hombre","Entre 50 y 199","Linares","p74",2012,259421.345486357
"1060","Hombre","Entre 50 y 199","Linares","p74",2013,357720.419767713
"1061","Hombre","Entre 50 y 199","Linares","p74",2014,345453.812580596
"1062","Hombre","Entre 50 y 199","Linares","p74",2015,386496.64964985
"1063","Hombre","Entre 50 y 199","Llanquihue","p101",2010,501957.648094945
"1064","Hombre","Entre 50 y 199","Llanquihue","p101",2011,449461.551997997
"1065","Hombre","Entre 50 y 199","Llanquihue","p101",2012,530716.257806091
"1066","Hombre","Entre 50 y 199","Llanquihue","p101",2013,628007.576468771
"1067","Hombre","Entre 50 y 199","Llanquihue","p101",2014,665251.608773446
"1068","Hombre","Entre 50 y 199","Llanquihue","p101",2015,637840.245611297
"1069","Hombre","Entre 50 y 199","Los Andes","p53",2010,472586.87269559
"1070","Hombre","Entre 50 y 199","Los Andes","p53",2011,474115.109176378
"1071","Hombre","Entre 50 y 199","Los Andes","p53",2012,388568.114844161
"1072","Hombre","Entre 50 y 199","Los Andes","p53",2013,431642.875418039
"1073","Hombre","Entre 50 y 199","Los Andes","p53",2014,546876.985597159
"1074","Hombre","Entre 50 y 199","Los Andes","p53",2015,556339.378482281
"1075","Hombre","Entre 50 y 199","Magallanes","p121",2010,760562.63901344
"1076","Hombre","Entre 50 y 199","Magallanes","p121",2011,884389.987503832
"1077","Hombre","Entre 50 y 199","Magallanes","p121",2012,976624.959413754
"1078","Hombre","Entre 50 y 199","Magallanes","p121",2013,713892.2778269
"1079","Hombre","Entre 50 y 199","Magallanes","p121",2014,571059.756644083
"1080","Hombre","Entre 50 y 199","Magallanes","p121",2015,666953.342486064
"1081","Hombre","Entre 50 y 199","Maipo","p134",2010,435992.96138455
"1082","Hombre","Entre 50 y 199","Maipo","p134",2011,343749.549511621
"1083","Hombre","Entre 50 y 199","Maipo","p134",2012,570750.754242322
"1084","Hombre","Entre 50 y 199","Maipo","p134",2013,425564.015475968
"1085","Hombre","Entre 50 y 199","Maipo","p134",2014,532012.386435694
"1086","Hombre","Entre 50 y 199","Maipo","p134",2015,566370.394221376
"1087","Hombre","Entre 50 y 199","Malleco","p92",2010,271482.695543805
"1088","Hombre","Entre 50 y 199","Malleco","p92",2011,345997.150619647
"1089","Hombre","Entre 50 y 199","Malleco","p92",2012,364339.111247773
"1090","Hombre","Entre 50 y 199","Malleco","p92",2013,298590.176808906
"1091","Hombre","Entre 50 y 199","Malleco","p92",2014,271378.099069707
"1092","Hombre","Entre 50 y 199","Malleco","p92",2015,355713.415652736
"1093","Hombre","Entre 50 y 199","Marga Marga","p58",2010,340639.930389016
"1094","Hombre","Entre 50 y 199","Marga Marga","p58",2011,353030.844955021
"1095","Hombre","Entre 50 y 199","Marga Marga","p58",2012,395676.988170823
"1096","Hombre","Entre 50 y 199","Marga Marga","p58",2013,476324.709684528
"1097","Hombre","Entre 50 y 199","Marga Marga","p58",2014,620876.787651207
"1098","Hombre","Entre 50 y 199","Marga Marga","p58",2015,522178.325201342
"1099","Hombre","Entre 50 y 199","Melipilla","p135",2010,664892.48630781
"1100","Hombre","Entre 50 y 199","Melipilla","p135",2011,274521.68391974
"1101","Hombre","Entre 50 y 199","Melipilla","p135",2012,306405.058862006
"1102","Hombre","Entre 50 y 199","Melipilla","p135",2013,296211.780923226
"1103","Hombre","Entre 50 y 199","Melipilla","p135",2014,442570.177856756
"1104","Hombre","Entre 50 y 199","Melipilla","p135",2015,413747.909193558
"1105","Hombre","Entre 50 y 199","Ñuble","p84",2010,302262.120654142
