"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"125","provincia","Elqui","p41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,354097.941419559,262984.799488376,"[271171, 617896]","[242059, 351492]"
"126","provincia","General Carrera","p114","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,213399.202550869,188247.710421661,"[172912, 264397]","[170166, 286411]"
"127","provincia","General Carrera","p114","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,235684.798034835,245372.505032641,"[132818, 301450]","[100483, 301450]"
"128","provincia","General Carrera","p114","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,96869.9617532611,96869.9617532611,"[70393, 110618]","[70393, 110618]"
"129","provincia","General Carrera","p114","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,105513.796342877,105513.796342877,"[100136, 109585]","[100136, 109585]"
"130","provincia","General Carrera","p114","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,208824.041254058,192439.111361281,"[110460, 303231]","[64032, 376382]"
"131","provincia","General Carrera","p114","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,348772.621047072,212209.713452565,"[167096, 625861]","[103278, 542200]"
"132","provincia","Huasco","p33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,219578.890899433,152421.786316518,"[138925, 299069]","[93000, 306739]"
"133","provincia","Huasco","p33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,175346.810511742,158034.500537852,"[140337, 217137]","[140417, 200830]"
"134","provincia","Huasco","p33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,188721.179629618,163891.367305043,"[135882, 256430]","[93895, 206068]"
"135","provincia","Huasco","p33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,197291.9565792,200271.125169454,"[147792, 247907]","[150000, 260000]"
"136","provincia","Huasco","p33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,207275.451089395,154775.66246244,"[139498, 308053]","[78970, 271332]"
"137","provincia","Huasco","p33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,242345.339065034,215794.031456575,"[139476, 353706]","[80269, 372490]"
"138","provincia","Iquique","p11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,184631.583472763,170948.8349011,"[65728, 433300]","[49966, 384889]"
"139","provincia","Iquique","p11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,291890.954538147,242530.130553862,"[220619, 397097]","[183093, 338311]"
"140","provincia","Iquique","p11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,437418.541213927,401852.687409799,"[281309, 603429]","[230067, 481866]"
"141","provincia","Iquique","p11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,334240.559090191,314767.630448424,"[236239, 416643]","[201731, 360000]"
"142","provincia","Iquique","p11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,792900.664982322,515642.537444741,"[346390, 1338595]","[251902, 2030887]"
"143","provincia","Iquique","p11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,305890.038408097,301222.383194496,"[224995, 367263]","[229925, 301222]"
"144","provincia","Limarí","p43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,184605.670924787,150146.79976512,"[149651, 227855]","[102222, 178416]"
"145","provincia","Limarí","p43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,306688.499642712,182357.152084224,"[216298, 434613]","[167106, 219192]"
"146","provincia","Limarí","p43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,188636.112371035,169077.700048802,"[153817, 225948]","[125422, 221237]"
"147","provincia","Limarí","p43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,240394.028161505,167922.600031853,"[187246, 298578]","[131699, 240325]"
"148","provincia","Limarí","p43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,257182.292974213,204975.08161852,"[193719, 338497]","[143540, 253065]"
"149","provincia","Limarí","p43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,240949.02652823,198751.004507271,"[188677, 289750]","[150047, 237043]"
"150","provincia","Linares","p74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,151649.885782177,100097.86651008,"[116911, 188801]","[80881, 169647]"
"151","provincia","Linares","p74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,144298.167543571,84896.4088081606,"[113073, 182931]","[79083, 108957]"
"152","provincia","Linares","p74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,123024.894978784,101356.677915244,"[104290, 150233]","[80301, 133638]"
"153","provincia","Linares","p74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,222234.647880309,85682.1300358748,"[140823, 293051]","[59355, 165421]"
"154","provincia","Linares","p74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,225829.593778878,151563.3882888,"[164815, 310805]","[99354, 221326]"
"155","provincia","Linares","p74","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,199372.348996621,145056.103974486,"[145132, 260709]","[77626, 201637]"
"156","provincia","Llanquihue","p101","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,265246.845186063,180176.159718144,"[210256, 334143]","[164678, 209260]"
"157","provincia","Llanquihue","p101","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,378867.585241588,199432.106887288,"[272435, 514218]","[173967, 249376]"
"158","provincia","Llanquihue","p101","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,257388.954172359,187207.00453624,"[207085, 334422]","[128800, 210000]"
"159","provincia","Llanquihue","p101","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,291936.865441474,239978.614068626,"[225664, 362979]","[200224, 298867]"
"160","provincia","Llanquihue","p101","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,223553.219932765,180798.492425845,"[171050, 288137]","[133108, 200000]"
"161","provincia","Llanquihue","p101","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,289924.215854712,258333.647453837,"[244780, 346434]","[195180, 310470]"
