"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"353","Mujer","Parcial","O'Higgins","6",2011,100577.69204673
"354","Mujer","Parcial","O'Higgins","6",2012,157238.578624744
"355","Mujer","Parcial","O'Higgins","6",2013,136207.725696521
"356","Mujer","Parcial","O'Higgins","6",2014,148033.055828334
"357","Mujer","Parcial","O'Higgins","6",2015,159974.024031222
"358","Mujer","Parcial","Tarapacá","1",2010,145856.703614242
"359","Mujer","Parcial","Tarapacá","1",2011,204993.765248515
"360","Mujer","Parcial","Tarapacá","1",2012,143980.953653878
"361","Mujer","Parcial","Tarapacá","1",2013,184123.057632643
"362","Mujer","Parcial","Tarapacá","1",2014,158416.320786454
"363","Mujer","Parcial","Tarapacá","1",2015,222344.012454036
"364","Mujer","Parcial","Valparaíso","5",2010,117611.097410878
"365","Mujer","Parcial","Valparaíso","5",2011,129688.631476128
"366","Mujer","Parcial","Valparaíso","5",2012,129186.449895178
"367","Mujer","Parcial","Valparaíso","5",2013,163268.303686971
"368","Mujer","Parcial","Valparaíso","5",2014,189206.24541683
"369","Mujer","Parcial","Valparaíso","5",2015,206070.463535205
"370","Mujer","Parcial",NA,NA,2010,51146.2592944639
"371","Mujer","Parcial",NA,NA,2011,53142.9043052793
"372","Mujer","Parcial",NA,NA,2012,91338.0785357993
