"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"185","region",NA,NA,"Hombre","Asalariado Sector Público",2011,214805.591201563,172965.532317903,"[162887, 360713]","[162379, 407717]"
"186","region",NA,NA,"Hombre","Asalariado Sector Público",2012,855610.363095794,679615.522417294,"[582011, 1493044]","[583260, 1106183]"
"187","region","Antofagasta","2","Hombre","Cuenta Propia",2010,318001.04277857,300293.59953024,"[263507, 386893]","[229005, 350343]"
"188","region","Antofagasta","2","Hombre","Cuenta Propia",2011,333755.631784744,300000,"[282412, 401439]","[280000, 354379]"
"189","region","Antofagasta","2","Hombre","Cuenta Propia",2012,389549.598008107,326020.574108305,"[330852, 472338]","[255188, 397619]"
"190","region","Antofagasta","2","Hombre","Cuenta Propia",2013,356301.537562885,320000,"[307023, 400637]","[258082, 400000]"
"191","region","Antofagasta","2","Hombre","Cuenta Propia",2014,474399.330696359,325654.397875873,"[381679, 597222]","[299944, 379929]"
"192","region","Antofagasta","2","Hombre","Cuenta Propia",2015,562249.7022326,400000,"[447101, 704006]","[289540, 500135]"
"193","region","Araucanía","9","Hombre","Cuenta Propia",2010,123036.498352438,75062.8556359613,"[105051, 140978]","[63277, 95337]"
"194","region","Araucanía","9","Hombre","Cuenta Propia",2011,174214.795324936,100310.771984209,"[147189, 209584]","[85803, 133895]"
"195","region","Araucanía","9","Hombre","Cuenta Propia",2012,166328.687398678,109533.439669083,"[139150, 196892]","[90000, 120000]"
"196","region","Araucanía","9","Hombre","Cuenta Propia",2013,178704.928349967,111281.457767495,"[155164, 203271]","[100000, 122255]"
"197","region","Araucanía","9","Hombre","Cuenta Propia",2014,249488.678457417,150739.973302998,"[215031, 286286]","[121170, 181876]"
"198","region","Araucanía","9","Hombre","Cuenta Propia",2015,190454.178924698,125483.685170569,"[168972, 216887]","[100380, 150529]"
"199","region","Arica y Parinacota","15","Hombre","Cuenta Propia",2010,197102.478486688,160107.432063432,"[177003, 218553]","[149946, 199863]"
"200","region","Arica y Parinacota","15","Hombre","Cuenta Propia",2011,206656.162605792,168567.726913046,"[183278, 235194]","[132338, 195351]"
"201","region","Arica y Parinacota","15","Hombre","Cuenta Propia",2012,282823.071066867,200000,"[239557, 355878]","[177691, 231462]"
"202","region","Arica y Parinacota","15","Hombre","Cuenta Propia",2013,301855.627304468,250000,"[262847, 345303]","[211526, 279498]"
"203","region","Arica y Parinacota","15","Hombre","Cuenta Propia",2014,291128.885414422,247229.038126281,"[264606, 319558]","[203435, 286507]"
"204","region","Arica y Parinacota","15","Hombre","Cuenta Propia",2015,325617.332910697,300081.183474654,"[288581, 385382]","[250116, 301222]"
