"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"177","region","Tarapacá","1","Hombre","De 5 a 10 personas",2015,1092283.86558834,446792.882727872,"[517226, 3464059]","[400108, 512077]"
"178","region","Valparaíso","5","Hombre","De 5 a 10 personas",2010,378509.623516625,200418.410410018,"[306901, 502922]","[195191, 219850]"
"179","region","Valparaíso","5","Hombre","De 5 a 10 personas",2011,645065.685257209,239900.06661118,"[450898, 969907]","[219609, 279909]"
"180","region","Valparaíso","5","Hombre","De 5 a 10 personas",2012,448119.988254362,250000,"[372201, 559591]","[231037, 299050]"
"181","region","Valparaíso","5","Hombre","De 5 a 10 personas",2013,433746.975933501,298867.110231973,"[364613, 513214]","[273270, 323773]"
"182","region","Valparaíso","5","Hombre","De 5 a 10 personas",2014,464878.969729453,299108.389617792,"[383582, 609924]","[253720, 303127]"
"183","region","Valparaíso","5","Hombre","De 5 a 10 personas",2015,755339.691227455,388256.407605556,"[588031, 973042]","[320000, 400057]"
"184","region",NA,NA,"Hombre","De 5 a 10 personas",2010,191250.667446466,185346.261562615,"[169463, 217536]","[172000, 209690]"
"185","region",NA,NA,"Hombre","De 5 a 10 personas",2011,314955.355380685,319171.37832852,"[258464, 388536]","[200000, 400000]"
"186","region",NA,NA,"Hombre","De 5 a 10 personas",2012,961256.87083054,472249.433948143,"[119520, 2000000]","[70393, 2000000]"
"187","region","Antofagasta","2","Hombre","Entre 11 y 49",2010,369957.641816281,300293.59953024,"[319899, 421931]","[265915, 400309]"
"188","region","Antofagasta","2","Hombre","Entre 11 y 49",2011,494039.876251242,398721.44401617,"[407311, 704300]","[334338, 455661]"
"189","region","Antofagasta","2","Hombre","Entre 11 y 49",2012,617993.281150797,500000,"[461515, 840406]","[368912, 502811]"
"190","region","Antofagasta","2","Hombre","Entre 11 y 49",2013,615584.189826015,450000,"[514200, 761714]","[377887, 597734]"
"191","region","Antofagasta","2","Hombre","Entre 11 y 49",2014,603982.88745864,466413.524845842,"[487459, 726329]","[400000, 551815]"
"192","region","Antofagasta","2","Hombre","Entre 11 y 49",2015,750838.539453317,600000,"[613796, 936327]","[500751, 701819]"
"193","region","Araucanía","9","Hombre","Entre 11 y 49",2010,310942.988876218,199863.214460186,"[236207, 397837]","[173506, 230476]"
"194","region","Araucanía","9","Hombre","Entre 11 y 49",2011,307827.564993399,231111.637604245,"[256625, 409418]","[200000, 251208]"
"195","region","Araucanía","9","Hombre","Entre 11 y 49",2012,337200.899835437,250000,"[273790, 526130]","[215759, 299990]"
"196","region","Araucanía","9","Hombre","Entre 11 y 49",2013,358461.465512973,260000,"[294072, 431797]","[221272, 300504]"
"197","region","Araucanía","9","Hombre","Entre 11 y 49",2014,425108.83564693,299943.746484155,"[356068, 511719]","[249964, 394247]"
"198","region","Araucanía","9","Hombre","Entre 11 y 49",2015,432693.128590065,308988.938693253,"[371838, 542757]","[265310, 350095]"
"199","region","Arica y Parinacota","15","Hombre","Entre 11 y 49",2010,381254.721423892,262431.160377285,"[307847, 484177]","[199959, 321512]"
"200","region","Arica y Parinacota","15","Hombre","Entre 11 y 49",2011,327270.455897102,226628.008883395,"[246090, 445039]","[179733, 252171]"
"201","region","Arica y Parinacota","15","Hombre","Entre 11 y 49",2012,423337.428114705,200902.06185567,"[263038, 691749]","[190943, 244843]"
"202","region","Arica y Parinacota","15","Hombre","Entre 11 y 49",2013,342057.704479368,299639.700485958,"[293090, 396947]","[250145, 355506]"
