"","provincia","sex","occupation","2011","2013","2015"
"439","Arica","Hombre","4121",895275,399776,500000
"440","Arica","Hombre","4122",339140,391613,400000
"441","Arica","Hombre","4131",250337,292953,450000
"442","Arica","Hombre","4132",153160,NA,450000
"443","Arica","Hombre","4133",1027000,575556,746000
"444","Arica","Hombre","4142",229740,NA,NA
"445","Arica","Hombre","4190",461899,489226,120000
"446","Arica","Hombre","4211",252425,205891,244000
"447","Arica","Hombre","4212",87520,NA,NA
"448","Arica","Hombre","4213",382900,380000,NA
"449","Arica","Hombre","4222",390327,350934,NA
"450","Arica","Hombre","4223",328200,306250,NA
"451","Arica","Hombre","5111",227917,404167,NA
"452","Arica","Hombre","5112",273500,192632,154000
"453","Arica","Hombre","5113",175040,300000,50000
"454","Arica","Hombre","5121",328200,450000,NA
"455","Arica","Hombre","5122",320312,304980,294182
"456","Arica","Hombre","5123",158293,228821,219029
"457","Arica","Hombre","5131",875200,271248,250000
"458","Arica","Hombre","5132",260023,290000,NA
"459","Arica","Hombre","5141",607642,300000,150000
"460","Arica","Hombre","5161",765800,250000,NA
"461","Arica","Hombre","5162",669570,883697,735044
"462","Arica","Hombre","5163",435967,668010,350000
"463","Arica","Hombre","5169",285474,372968,160000
"464","Arica","Hombre","5220",301453,264703,261471
"465","Arica","Hombre","5230",393479,197942,250000
"466","Arica","Hombre","6111",640543,247441,227009
"467","Arica","Hombre","6113",374231,186115,250000
"468","Arica","Hombre","6114",459943,NA,NA
"469","Arica","Hombre","6121",234237,NA,283333
"470","Arica","Hombre","6129",218800,NA,NA
"471","Arica","Hombre","6151",353206,396316,NA
"472","Arica","Hombre","6152",402440,211325,312491
"473","Arica","Hombre","6153",231928,336908,NA
"474","Arica","Hombre","7111",1289160,501012,269767
"475","Arica","Hombre","7112",1273416,350000,NA
"476","Arica","Hombre","7121",207860,268140,NA
"477","Arica","Hombre","7122",329111,227708,282178
"478","Arica","Hombre","7123",192401,150806,NA
"479","Arica","Hombre","7124",346324,195201,217254
"480","Arica","Hombre","7129",364515,385841,644437
"481","Arica","Hombre","7131",437287,NA,NA
"482","Arica","Hombre","7136",262643,233184,367134
"483","Arica","Hombre","7137",548497,427149,521098
"484","Arica","Hombre","7141",339145,150769,291795
"485","Arica","Hombre","7142",674886,189200,169341
"486","Arica","Hombre","7143",199108,NA,NA
"487","Arica","Hombre","7212",443101,284616,296798
"488","Arica","Hombre","7213",821600,250000,280000
"489","Arica","Hombre","7214",238619,239118,529593
"490","Arica","Hombre","7221",228592,NA,NA
"491","Arica","Hombre","7223",547000,NA,200000
"492","Arica","Hombre","7231",442193,397637,558926
"493","Arica","Hombre","7232",1094000,NA,NA
"494","Arica","Hombre","7233",492882,489798,592612
"495","Arica","Hombre","7241",417646,462803,NA
"496","Arica","Hombre","7245",262560,241940,NA
"497","Arica","Hombre","7311",218800,NA,NA
"498","Arica","Hombre","7313",143780,496471,NA
"499","Arica","Hombre","7331",191450,300000,NA
"500","Arica","Hombre","7332",218800,100000,150000
"501","Arica","Hombre","7344",205400,NA,NA
"502","Arica","Hombre","7345",302035,207665,NA
"503","Arica","Hombre","7411",235194,317053,280000
"504","Arica","Hombre","7412",244288,199768,344565
"505","Arica","Hombre","7413",184860,NA,NA
"506","Arica","Hombre","7422",383987,179896,NA
"507","Arica","Hombre","7433",217637,800000,NA
"508","Arica","Hombre","7436",205400,NA,NA
"509","Arica","Hombre","7437",292010,60000,NA
"510","Arica","Hombre","7442",165930,167742,120000
"511","Arica","Hombre","8111",696713,430933,480000
"512","Arica","Hombre","8112",800997,314706,2000000
"513","Arica","Hombre","8113",529879,658841,250000
"514","Arica","Hombre","8162",280793,NA,NA
"515","Arica","Hombre","8163",328200,361000,220000
"516","Arica","Hombre","8211",382900,424589,NA
"517","Arica","Hombre","8212",274447,206364,600000
"518","Arica","Hombre","8251",202390,286250,NA
"519","Arica","Hombre","8271",227890,136250,272308
"520","Arica","Hombre","8273",251620,300000,NA
"521","Arica","Hombre","8278",218800,177419,407679
"522","Arica","Hombre","8284",547000,NA,NA
"523","Arica","Hombre","8290",250833,NA,NA
"524","Arica","Hombre","8312",273500,NA,NA
"525","Arica","Hombre","8322",487498,304618,288436
