"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"160","pais","País","pais","2006","Mujer","Trabajadores No Calificados",112063,109585,"[110590, 113509]","[109080, 111100]"
"161","pais","País","pais","2009","Hombre","Empleados de Oficina",355534,276250,"[343034, 364880]","[276250, 276250]"
"162","pais","País","pais","2009","Hombre","Fuerzas Armadas",561087,497250,"[516315, 605792]","[442000, 552500]"
"163","pais","País","pais","2009","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",1049471,574600,"[968889, 1129629]","[547714, 616200]"
"164","pais","País","pais","2009","Hombre","Operadores y Montadores de Instalaciones y Máquinas",347122,276250,"[338351, 357324]","[265200, 276250]"
"165","pais","País","pais","2009","Hombre","Profesionales, Científicos e Intelectuales",951468,663000,"[916366, 993832]","[663000, 693118]"
"166","pais","País","pais","2009","Hombre","Técnicos y Profesionales de Nivel Medio",512172,363401,"[487523, 531603]","[341431, 386750]"
"167","pais","País","pais","2009","Hombre","Trabajadores Agropecuarios y Pesqueros",262307,195130,"[253635, 268612]","[187850, 198900]"
"168","pais","País","pais","2009","Hombre","Trabajadores de Artes Mecánicas y Otros",314497,246480,"[308829, 319236]","[246480, 254150]"
"169","pais","País","pais","2009","Hombre","Trabajadores de Servicios y Vendedores",328846,221000,"[318971, 340903]","[221000, 224863]"
"170","pais","País","pais","2009","Hombre","Trabajadores No Calificados",197978,182325,"[195629, 200150]","[182325, 182325]"
"171","pais","País","pais","2009","Mujer","Empleados de Oficina",254083,216028,"[248896, 261754]","[209950, 221000]"
"172","pais","País","pais","2009","Mujer","Fuerzas Armadas",384741,386750,"[322936, 467741]","[309400, 442000]"
"173","pais","País","pais","2009","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",594893,410800,"[547867, 651503]","[386750, 410800]"
"174","pais","País","pais","2009","Mujer","Operadores y Montadores de Instalaciones y Máquinas",275802,185640,"[239383, 336295]","[182325, 190751]"
"175","pais","País","pais","2009","Mujer","Profesionales, Científicos e Intelectuales",563168,472155,"[546522, 583661]","[464100, 495943]"
"176","pais","País","pais","2009","Mujer","Técnicos y Profesionales de Nivel Medio",332051,265200,"[321767, 343645]","[254150, 275725]"
"177","pais","País","pais","2009","Mujer","Trabajadores Agropecuarios y Pesqueros",193217,173485,"[180037, 207528]","[165375, 176800]"
"178","pais","País","pais","2009","Mujer","Trabajadores de Artes Mecánicas y Otros",213383,176800,"[193653, 241799]","[172239, 182325]"
"179","pais","País","pais","2009","Mujer","Trabajadores de Servicios y Vendedores",231297,182325,"[226046, 237240]","[182325, 182325]"
"180","pais","País","pais","2009","Mujer","Trabajadores No Calificados",154114,154903,"[152400, 155997]","[154700, 160225]"
"181","pais","País","pais","2011","Hombre","Empleados de Oficina",398385,295380,"[381028, 418047]","[273500, 309606]"
"182","pais","País","pais","2011","Hombre","Fuerzas Armadas",729544,645296,"[688967, 778817]","[575649, 656400]"
"183","pais","País","pais","2011","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",1157884,616200,"[1082794, 1239972]","[616200, 616200]"
"184","pais","País","pais","2011","Hombre","Operadores y Montadores de Instalaciones y Máquinas",420389,328200,"[412922, 433128]","[328200, 328200]"
"185","pais","País","pais","2011","Hombre","Profesionales, Científicos e Intelectuales",1150363,831440,"[1113325, 1186446]","[820500, 875200]"
"186","pais","País","pais","2011","Hombre","Técnicos y Profesionales de Nivel Medio",610133,437600,"[588480, 632673]","[437600, 437600]"
"187","pais","País","pais","2011","Hombre","Trabajadores Agropecuarios y Pesqueros",297125,205400,"[286176, 306820]","[205400, 205400]"
"188","pais","País","pais","2011","Hombre","Trabajadores de Artes Mecánicas y Otros",389476,308100,"[382141, 397741]","[308100, 317547]"
"189","pais","País","pais","2011","Hombre","Trabajadores de Servicios y Vendedores",355179,251620,"[345488, 365161]","[240680, 262560]"
"190","pais","País","pais","2011","Hombre","Trabajadores No Calificados",252222,202390,"[247916, 257307]","[202390, 202390]"
"191","pais","País","pais","2011","Mujer","Empleados de Oficina",292917,240680,"[287309, 300522]","[240680, 251620]"
"192","pais","País","pais","2011","Mujer","Fuerzas Armadas",622611,547000,"[456172, 797785]","[295380, 772049]"
"193","pais","País","pais","2011","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",577764,369720,"[538580, 623971]","[349180, 373828]"
"194","pais","País","pais","2011","Mujer","Operadores y Montadores de Instalaciones y Máquinas",388062,218800,"[333753, 435506]","[207214, 225706]"
"195","pais","País","pais","2011","Mujer","Profesionales, Científicos e Intelectuales",726270,601700,"[707857, 739650]","[571852, 608950]"
"196","pais","País","pais","2011","Mujer","Técnicos y Profesionales de Nivel Medio",453902,328200,"[437622, 472697]","[328200, 328200]"
"197","pais","País","pais","2011","Mujer","Trabajadores Agropecuarios y Pesqueros",199668,196920,"[188726, 214917]","[185980, 196920]"
"198","pais","País","pais","2011","Mujer","Trabajadores de Artes Mecánicas y Otros",223002,196920,"[210963, 233488]","[178267, 196920]"
"199","pais","País","pais","2011","Mujer","Trabajadores de Servicios y Vendedores",240743,199108,"[235092, 245307]","[199108, 199108]"
"200","pais","País","pais","2011","Mujer","Trabajadores No Calificados",175664,177228,"[173336, 179081]","[175040, 184860]"
"201","pais","País","pais","2013","Hombre","Empleados de Oficina",374958,3e+05,"[366150, 385052]","[3e+05, 307625]"
"202","pais","País","pais","2013","Hombre","Fuerzas Armadas",652706,520000,"[618102, 714649]","[5e+05, 6e+05]"
"203","pais","País","pais","2013","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",929720,5e+05,"[879522, 987847]","[5e+05, 5e+05]"
