"","geography_level","geography_name","geography_id","year","occupation","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"227","pais","País","pais","2011","3330","Hombre",437600,437600,"[437600, 437600]","[437600, 437600]"
"228","pais","País","pais","2011","3330","Mujer",246971,221475,"[198587, 297111]","[206813, 287906]"
"229","pais","País","pais","2011","3340","Hombre",410255,390311,"[231369, 843102]","[164100, 492300]"
"230","pais","País","pais","2011","3340","Mujer",225321,308946,"[85683, 368974]","[59076, 328200]"
"231","pais","País","pais","2011","3411","Hombre",1270685,701802,"[808622, 1888514]","[503964, 918689]"
"232","pais","País","pais","2011","3411","Mujer",752542,451029,"[576646, 1426946]","[437600, 742839]"
"233","pais","País","pais","2011","3412","Hombre",709454,550379,"[496955, 916721]","[331019, 948419]"
"234","pais","País","pais","2011","3412","Mujer",663202,379694,"[417832, 1212007]","[328200, 469264]"
"235","pais","País","pais","2011","3413","Hombre",1203805,1027000,"[880298, 1551432]","[547000, 1643394]"
"236","pais","País","pais","2011","3413","Mujer",1039926,701248,"[694137, 1507411]","[405508, 1031168]"
"237","pais","País","pais","2011","3414","Hombre",567738,522589,"[382917, 1002813]","[375203, 1128096]"
"238","pais","País","pais","2011","3414","Mujer",731921,328200,"[246151, 1426147]","[203899, 1886303]"
"239","pais","País","pais","2011","3415","Hombre",519792,251620,"[312777, 924450]","[211778, 671397]"
"240","pais","País","pais","2011","3415","Mujer",427454,420717,"[344021, 521720]","[328200, 437600]"
"241","pais","País","pais","2011","3416","Hombre",311151,310889,"[242229, 375283]","[223737, 406248]"
"242","pais","País","pais","2011","3416","Mujer",437600,437600,"[437600, 437600]","[437600, 437600]"
"243","pais","País","pais","2011","3417","Hombre",295380,295380,"[295380, 295380]","[295380, 295380]"
"244","pais","País","pais","2011","3419","Hombre",783204,765800,"[440574, 1183695]","[267020, 1641000]"
"245","pais","País","pais","2011","3419","Mujer",335403,306529,"[184444, 468801]","[32820, 525120]"
"246","pais","País","pais","2011","3421","Hombre",333678,255473,"[204996, 601700]","[199108, 601700]"
