year,comuna_datachile_id,felony_id,cases
2006,45,8,25
2006,45,9,138
2006,45,10,170
2006,45,11,73
2006,45,12,97
2006,45,13,0
2006,45,14,5
2007,45,1,16
2007,45,2,3
2007,45,3,252
2007,45,4,4
2007,45,5,15
2007,45,6,120
2007,45,7,88
2007,45,8,25
2007,45,9,151
2007,45,10,229
2007,45,11,81
2007,45,12,148
2007,45,13,1
2007,45,14,7
2008,45,1,21
2008,45,2,3
2008,45,3,188
2008,45,4,3
2008,45,5,14
2008,45,6,93
2008,45,7,72
2008,45,8,6
2008,45,9,177
2008,45,10,241
2008,45,11,89
2008,45,12,152
2008,45,13,2
2008,45,14,7
2009,45,1,39
2009,45,2,4
2009,45,3,274
2009,45,4,6
2009,45,5,15
2009,45,6,119
2009,45,7,108
2009,45,8,26
2009,45,9,236
2009,45,10,277
2009,45,11,79
2009,45,12,198
2009,45,13,2
2009,45,14,11
2010,45,1,35
2010,45,2,12
2010,45,3,260
2010,45,4,10
2010,45,5,28
2010,45,6,112
2010,45,7,81
2010,45,8,29
2010,45,9,227
2010,45,10,256
2010,45,11,93
2010,45,12,163
2010,45,13,1
2010,45,14,6
2011,45,1,55
2011,45,2,20
2011,45,3,256
2011,45,4,9
2011,45,5,30
2011,45,6,110
2011,45,7,101
2011,45,8,6
2011,45,9,235
2011,45,10,212
2011,45,11,60
2011,45,12,152
2011,45,13,4
2011,45,14,6
2012,45,1,35
2012,45,2,15
2012,45,3,253
2012,45,4,10
2012,45,5,16
2012,45,6,123
2012,45,7,101
2012,45,8,3
2012,45,9,160
2012,45,10,171
2012,45,11,67
2012,45,12,104
2012,45,13,2
2012,45,14,7
2013,45,1,27
2013,45,2,24
2013,45,3,247
2013,45,4,11
2013,45,5,22
2013,45,6,124
2013,45,7,88
2013,45,8,2
2013,45,9,166
2013,45,10,148
2013,45,11,45
2013,45,12,103
2013,45,13,1
2013,45,14,7
2014,45,1,34
2014,45,2,12
2014,45,3,241
2014,45,4,12
2014,45,5,18
2014,45,6,130
2014,45,7,79
2014,45,8,2
2014,45,9,161
2014,45,10,112
2014,45,11,39
2014,45,12,73
2014,45,13,1
2014,45,14,4
2015,45,1,34
2015,45,2,13
2015,45,3,273
2015,45,4,11
2015,45,5,21
2015,45,6,117
2015,45,7,116
2015,45,8,8
2015,45,9,151
2015,45,10,106
2015,45,11,25
2015,45,12,81
2015,45,13,2
2015,45,14,3
2016,45,1,30
2016,45,2,18
2016,45,3,222
2016,45,4,5
2016,45,5,34
2016,45,6,89
2016,45,7,90
2016,45,8,4
2016,45,9,140
2016,45,10,102
2016,45,11,24
2016,45,12,78
2016,45,13,1
2016,45,14,0
2005,46,1,1
2005,46,2,0
2005,46,3,14
2005,46,4,0
2005,46,5,0
2005,46,6,0
2005,46,7,1
2005,46,8,0
2005,46,9,17
2005,46,10,40
2005,46,11,5
2005,46,12,3
2005,46,13,0
2005,46,14,0
2006,46,1,5
2006,46,2,0
2006,46,3,35
2006,46,4,1
2006,46,5,5
2006,46,6,15
2006,46,7,14
2006,46,8,0
2006,46,9,42
2006,46,10,59
2006,46,11,18
2006,46,12,41
2006,46,13,3
2006,46,14,1
2007,46,1,3
2007,46,2,1
2007,46,3,42
2007,46,4,0
2007,46,5,2
2007,46,6,13
2007,46,7,27
2007,46,8,0
2007,46,9,43
2007,46,10,47
2007,46,11,13
2007,46,12,34
2007,46,13,1
2007,46,14,1
2008,46,1,1
2008,46,2,0
2008,46,3,35
2008,46,4,0
2008,46,5,3
2008,46,6,8
2008,46,7,22
2008,46,8,2
2008,46,9,28
2008,46,10,57
2008,46,11,17
2008,46,12,40
2008,46,13,0
2008,46,14,4
2009,46,1,14
2009,46,2,1
2009,46,3,84
2009,46,4,5
2009,46,5,0
2009,46,6,36
2009,46,7,43
2009,46,8,0
2009,46,9,57
2009,46,10,67
2009,46,11,16
2009,46,12,51
2009,46,13,0
2009,46,14,8
2010,46,1,2
2010,46,2,1
2010,46,3,62
2010,46,4,4
2010,46,5,2
2010,46,6,23
2010,46,7,30
2010,46,8,3
2010,46,9,46
2010,46,10,63
2010,46,11,17
2010,46,12,46
2010,46,13,0
2010,46,14,1
2011,46,1,5
2011,46,2,4
2011,46,3,56
2011,46,4,1
2011,46,5,3
2011,46,6,25
2011,46,7,23
2011,46,8,4
2011,46,9,68
2011,46,10,65
2011,46,11,16
2011,46,12,49
2011,46,13,0
2011,46,14,5
2012,46,1,8
2012,46,2,0
2012,46,3,50
2012,46,4,3
2012,46,5,1
2012,46,6,24
2012,46,7,22
2012,46,8,0
2012,46,9,61
2012,46,10,61
2012,46,11,16
2012,46,12,45
2012,46,13,3
2012,46,14,0
2013,46,1,1
2013,46,2,0
2013,46,3,50
2013,46,4,1
2013,46,5,1
2013,46,6,26
2013,46,7,22
2013,46,8,0
2013,46,9,65
2013,46,10,56
2013,46,11,9
2013,46,12,47
2013,46,13,0
2013,46,14,0
2014,46,1,4
2014,46,2,0
2014,46,3,42
2014,46,4,6
2014,46,5,4
2014,46,6,20
2014,46,7,12
2014,46,8,0
2014,46,9,62
2014,46,10,59
2014,46,11,11
2014,46,12,48
2014,46,13,2
2014,46,14,2
2015,46,1,3
2015,46,2,2
2015,46,3,58
2015,46,4,8
2015,46,5,2
2015,46,6,26
2015,46,7,22
2015,46,8,0
