"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"s34_2e",0.0177,0,0,0,0,0,0,0,0,0,0,0
"s34_1f",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2f",0.0192,0,0,0,0,0,0,0,0,0,0,0
"s34_1g",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2g",0.0364,0,0,0,0,0,0,0,0,0,0,0
"s34_1h",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2h",0.0367,0,0,0,0,0,0,0,0,0,0,0
"s34_1i",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2i",0.0284,0,0,0,0,0,0,0,0,0,0,0
"s34_1j",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2j",0.02,0,0,0,0,0,0,0,0,0,0,0
"ch4",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s35a",0.0433,0,0,0,0,0,0,0,0,0,0,0
"s35b",0.034,0,0,0,0,0,0,0,0,0,0,0
"s35c",0.0433,0,0,0,0,0,0,0,0,0,0,0
"s0",0.8389,1,1,0,0,0,0,0,0,0,0,0
"r1a",1,1,1,0,0,0,0,0,0,0,0,0
"r1aesp_cod",0.014,0,0,0,0,0,0,0,0,0,0,0
"r1a_esp",0.014,0,0,0,0,0,0,0,0,0,0,0
"r1b",1,1,1,0,0,0,0,0,0,0,0,0
"r1bespc_cod",0.3775,0,0,0,0,0,0,0,0,0,0,0
"r1bespp_cod",0.0182,0,0,0,0,0,0,0,0,0,0,0
"r1b_esp",0.3957,0,0,0,0,0,0,0,0,0,0,0
"r1c_a<f1>o",0.0182,0,0,0,0,0,0,0,0,0,0,0
"r1cp",0.0041,0,0,0,0,0,0,0,0,0,0,0
"r2",0.9342,1,1,0,0,0,0,0,0,0,0,0
"r2_esp",0.0851,0,0,0,0,0,0,0,0,0,0,0
"r2espc_cod",0.0768,0,0,0,0,0,0,0,0,0,0,0
"r2espp_cod",0.0083,0,0,0,0,0,0,0,0,0,0,0
"r3",1,1,1,0,0,0,0,0,0,0,0,0
"r4",0.1169,0,0,0,0,0,0,0,0,0,0,0
"r5",0.0263,0,0,0,0,0,0,0,0,0,0,0
"r6",0.8389,1,1,0,0,0,0,0,0,0,0,0
"r6_esp",0.0001,0,0,0,0,0,0,0,0,0,0,0
"r7a",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7b",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7c",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7d",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7e",0.3142,0,0,0,0,0,0,0,0,0,0,0
"r7f",0.3142,0,0,0,0,0,0,0,0,0,0,0
